Code,Country,EDGAR.Country.Code,Income.group,Lending.category,Region,CSC.Sector,CSC.Subsector,Gas,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Agriculture,AG - Livestock,CH4,MtCO2e,13.03372,13.03372,13.835528,14.23646,14.637504,15.038548,15.439676,15.842428,16.248148,16.65538,17.064544,17.475976,17.888416,19.415704,19.88196,20.348132,20.814276,21.280476,21.746648,22.212792,22.678964,23.145136,23.611308,23.611812,24.543652,24.8742884699813,25.2519969039914,25.4722055036289
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Agriculture,AG - Livestock,N2O,MtCO2e,1.824525,1.75695,1.858975,1.910385,1.96312,2.01506,2.06806,2.12053,2.173,2.22547,2.27847,2.331205,2.38394,2.601505,2.65371,2.80582,2.758385,2.81059,2.862795,2.915,2.967205,3.01941,3.071615,3.073735,3.15774,3.20027906495736,3.24887432007306,3.27720594339543
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Agriculture,AG - Crops,CH4,MtCO2e,2.549624,2.566284,2.582916,2.58188,2.59854,2.615312,2.529212,2.539208,2.575692,2.66532,2.57782,2.442048,2.11792,1.91436,1.829408,1.829436,1.82322,1.218336,1.169504,1.199716,1.13806,1.332744,0.97286,0.51716,0.331352,0.335815763404128,0.34091502267598,0.34388795269907
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Agriculture,AG - Crops,N2O,MtCO2e,2.27211,2.284565,2.30338,2.30921,2.31875,2.33465,2.261245,2.272375,2.306295,2.38606,2.410705,2.20215,1.928405,1.766755,1.91966,1.71402,1.71402,1.19038,1.15381,1.16653,2.118145,1.29479,0.98103,0.525495,1.513415,1.53380276434806,1.55709308844724,1.57067162997073
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Building,CH4,MtCO2e,1.766212,1.766212,1.88426,1.945944,1.946392,2.063376,2.241232,2.456188,2.454676,2.490124,2.57586,2.643172,2.75366,2.899288,2.9407,3.037608,3.114608,3.193848,2.865072,2.978444,3.294508,2.947224,3.062556,3.439296,3.46066,3.50727981054024,3.56053677772839,3.59158623574798
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Building,CO2,MtCO2e,0.136491,0.136491,0.150353,0.182979,0.170793,0.19209,0.20022,0.210748,0.211023,0.184631,0.183017,0.212746,0.207555,0.288628,0.327145,0.310906,0.366283,0.357584,0.292787,0.399567,0.447872,0.565596,0.589127,0.493985,0.71161,0.72119635733604,0.732147502614906,0.738532153179052
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Building,N2O,MtCO2e,0.21783,0.21783,0.23214,0.23956,0.24009,0.25493,0.276395,0.301835,0.301835,0.30528,0.315615,0.324095,0.33708,0.351125,0.360135,0.371795,0.3816,0.391405,0.34609,0.367025,0.391935,0.35245,0.36305,0.41022,0.407835,0.41332909373694,0.419605369133304,0.423264513837325
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Electricity/Heat,CH4,MtCO2e,0.05502,0.05502,0.060032,0.06272,0.077896,0.078176,0.089768,0.106204,0.114548,0.122892,0.129304,0.129584,0.14196,0.148568,0.155008,0.161448,0.161532,0.161476,0.200704,0.125748,0.463512,0.31052,0.310604,1.034432,1.2929,1.3103171265156,1.33021388981438,1.34181394421832
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Electricity/Heat,CO2,MtCO2e,0.000874,0.000874,0.000956,0.000903,0.000979,0.000986,0.001054,0.001052,0.001129,0.001129,0.105963,0.121288,0.17129,0.199064,0.147363,0.207176,0.277764,0.235387,0.084366,0.042957,0.052787,0.043421,0.122776,0.223337,0.074471,0.075474225948444,0.0766202788988838,0.0772884416736656
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Electricity/Heat,N2O,MtCO2e,0.010335,0.010335,0.011395,0.011925,0.01484,0.01484,0.01696,0.02014,0.02173,0.02332,0.024645,0.024645,0.027295,0.02862,0.02968,0.031005,0.031005,0.031005,0.03816,0.02385,0.087715,0.05883,0.059095,0.245125,0.306075,0.3101982477363,0.314908512897314,0.317654654634249
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Fugitive Emissions,CH4,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Fugitive Emissions,N2O,MtCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Manufacturing/Construction,CH4,MtCO2e,0.011676,0.011676,0.012992,0.013636,0.013048,0.013664,0.036792,0.022456,0.024752,0.027048,0.029036,0.029372,0.03304,0.043904,0.03822,0.039676,0.039536,0.039788,0.078848,0.081116,0.087472,0.081844,0.05768,0.063168,1.592696,1.61415178755734,1.6386621869068,1.65295204710398
UGA,Uganda,UGA,Low income,IDA,Africa Eastern and Southern,Energy,EN - Manufacturing/Construction,CO2,MtCO2e,0.151406,0.151406,0.185873,0.216286,0.170492,0.150954,0.148203,0.144132,0.185022,0.224358,0.209207,0.232657,0.198518,0.186868,0.814415,0.378859,0.244435,0.485381,0.578729,0.661588,1.022672,0.941854,0.928008,0.927828,1.005206,1.01874749592098,1.03421686389106,1.04323569310226
