Sector,Year,Oil,Coal,Natural_gas,Electricity,Bioenergy_and_waste
Industry,2015,30,3,0,8,110
Industry,2021,35,5,0,10,100
Industry,2030,47,15,15,50,60
Industry,2050,40,25,35,215,60
Industry,2070,35,20,25,250,50
Industry,2100,30,15,15,280,40
Residential,2015,0.05,0,0,0.8,450
Residential,2021,0.1,0,0,1,430
Residential,2030,60,0,0,50,120
Residential,2050,70,0,0,187,33
Residential,2070,50,0,0,210,25
Residential,2100,40,0,0,230,20
Services,2015,0,0,0,0.4,45
Services,2021,0,0,0,0.5,40
Services,2030,15,0,0,20,40
Services,2050,25,0,0,140,20
Services,2070,20,0,0,160,15
Services,2100,15,0,0,180,10
Transport,2015,60,0,0,0,0
Transport,2021,80,0,0,0,0
Transport,2030,105,0,0,3,7
Transport,2050,130,0,0,25,15
Transport,2070,100,0,0,40,25
Transport,2100,70,0,0,50,30
