region,year,Safely managed service ,At least basic service ,Basic service ,Limited service ,Unimproved ,Open defecation
Afghanistan,2022-2024,24.78,55.95,54,12.04,23.16,11.17
Albania,2022-2024,69.28,,99,0.57,0.13,0
Algeria,2022-2024,62.49,,86,10.82,3.36,0.04
American Samoa,2021-2024,42.93,,62,44.32,1.53,0.79
Andorra,2022-2024,100,,100,0,0,0
Angola,2022,,52.18,50,21.28,9.25,25.72
Anguilla,2017,,96.7,97,2.38,0.38,0.54
Antigua and Barbuda,2022-2024,,97.4,100,0,1.97,0.14
Argentina,2014-2024,48.54,,95,2.29,2.89,1.53
Armenia,2022-2024,10.74,,94,0.42,5.59,0.01
Aruba,2022-2024,,98.84,99,0,0.3,0.86
Australia,2022-2024,95.77,,100,0,0,0
Australia and New Zealand,2022-2024,94.63,,100,0,0,0
Austria,2022-2024,98.5,,100,0,0.03,0
Azerbaijan,2019-2024,68,,99,2.69,1.1,0.03
Bahamas,2019,,94.93,94,3.32,1.53,0.13
Bahrain,2022-2024,93.35,,100,0,0,0
Bangladesh,2022-2024,37.32,,68,25.95,14.75,0
Barbados,2022-2024,,98.09,98,1.91,0,0
Belarus,2022-2024,74.44,,100,0.02,0.42,0
Belgium,2022-2024,94.9,,99,0.51,0,0
Belize,2022-2024,,88.25,84,9.02,2.15,0.57
Benin,2022-2024,16.36,,22,19.97,12.04,47.04
Bermuda,2022-2024,,99.94,100,0,0.06,0
Bhutan,2022-2024,49.48,,87,10.01,12.05,0
Bolivia (Plurinational State of),2022-2024,,68.61,72,17.21,5.62,7.09
"Bonaire, Sint Eustatius and Saba",2022-2024,,95.4,95,4.6,0,0
Bosnia and Herzegovina,2018-2024,56.63,,95,0.6,4.02,0
Botswana,2022-2024,,80.55,72,5.48,8.76,5.43
Brazil,2022-2024,54.96,,92,0.09,8.93,0
British Virgin Islands,2016,,96.86,97,0,3.14,0
Brunei Darussalam,2022-2024,,99.48,100,0,0.52,0
Bulgaria,2022-2024,75.72,,86,13.94,0,0
