year,avgmass_lvst_animal_buffalo_kg,avgmass_lvst_animal_cattle_dairy_kg,avgmass_lvst_animal_cattle_nondairy_kg,avgmass_lvst_animal_chickens_kg,avgmass_lvst_animal_goats_kg,avgmass_lvst_animal_horses_kg,avgmass_lvst_animal_mules_kg,avgmass_lvst_animal_pigs_kg,avgmass_lvst_animal_sheep_kg
2015,315.0,275,173,1.8,30,238.0,130.0,28,28
2016,315.0,275,173,1.8,30,238.0,130.0,28,28
2017,315.0,275,173,1.8,30,238.0,130.0,28,28
2018,315.0,275,173,1.8,30,238.0,130.0,28,28
2019,315.0,275,173,1.8,30,238.0,130.0,28,28
2020,315.0,275,173,1.8,30,238.0,130.0,28,28
2021,315.0,275,173,1.8,30,238.0,130.0,28,28
2022,315.0,275,173,1.8,30,238.0,130.0,28,28
2023,315.0,275,173,1.8,30,238.0,130.0,28,28
2024,315.0,275,173,1.8,30,238.0,130.0,28,28
2025,315.0,275,173,1.8,30,238.0,130.0,28,28
2026,315.0,275,173,1.8,30,238.0,130.0,28,28
2027,315.0,275,173,1.8,30,238.0,130.0,28,28
2028,315.0,275,173,1.8,30,238.0,130.0,28,28
2029,315.0,275,173,1.8,30,238.0,130.0,28,28
2030,315.0,275,173,1.8,30,238.0,130.0,28,28
2031,315.0,275,173,1.8,30,238.0,130.0,28,28
2032,315.0,275,173,1.8,30,238.0,130.0,28,28
2033,315.0,275,173,1.8,30,238.0,130.0,28,28
2034,315.0,275,173,1.8,30,238.0,130.0,28,28
2035,315.0,275,173,1.8,30,238.0,130.0,28,28
2036,315.0,275,173,1.8,30,238.0,130.0,28,28
2037,315.0,275,173,1.8,30,238.0,130.0,28,28
2038,315.0,275,173,1.8,30,238.0,130.0,28,28
2039,315.0,275,173,1.8,30,238.0,130.0,28,28
2040,315.0,275,173,1.8,30,238.0,130.0,28,28
2041,315.0,275,173,1.8,30,238.0,130.0,28,28
2042,315.0,275,173,1.8,30,238.0,130.0,28,28
2043,315.0,275,173,1.8,30,238.0,130.0,28,28
2044,315.0,275,173,1.8,30,238.0,130.0,28,28
2045,315.0,275,173,1.8,30,238.0,130.0,28,28
2046,315.0,275,173,1.8,30,238.0,130.0,28,28
2047,315.0,275,173,1.8,30,238.0,130.0,28,28
2048,315.0,275,173,1.8,30,238.0,130.0,28,28
2049,315.0,275,173,1.8,30,238.0,130.0,28,28
2050,315.0,275,173,1.8,30,238.0,130.0,28,28
2051,315.0,275,173,1.8,30,238.0,130.0,28,28
2052,315.0,275,173,1.8,30,238.0,130.0,28,28
2053,315.0,275,173,1.8,30,238.0,130.0,28,28
2054,315.0,275,173,1.8,30,238.0,130.0,28,28
2055,315.0,275,173,1.8,30,238.0,130.0,28,28
2056,315.0,275,173,1.8,30,238.0,130.0,28,28
2057,315.0,275,173,1.8,30,238.0,130.0,28,28
2058,315.0,275,173,1.8,30,238.0,130.0,28,28
2059,315.0,275,173,1.8,30,238.0,130.0,28,28
2060,315.0,275,173,1.8,30,238.0,130.0,28,28
2061,315.0,275,173,1.8,30,238.0,130.0,28,28
2062,315.0,275,173,1.8,30,238.0,130.0,28,28
2063,315.0,275,173,1.8,30,238.0,130.0,28,28
2064,315.0,275,173,1.8,30,238.0,130.0,28,28
2065,315.0,275,173,1.8,30,238.0,130.0,28,28
2066,315.0,275,173,1.8,30,238.0,130.0,28,28
2067,315.0,275,173,1.8,30,238.0,130.0,28,28
2068,315.0,275,173,1.8,30,238.0,130.0,28,28
2069,315.0,275,173,1.8,30,238.0,130.0,28,28
2070,315.0,275,173,1.8,30,238.0,130.0,28,28
