year,scalar_lvst_carrying_capacity
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,1.0
2020,1.0
2021,1.0
2022,1.0
2023,1.0
2024,1.0405529816794217
2025,1.0877375941161442
2026,1.1419831785097294
2027,1.2034923609977268
2028,1.2721567323150902
2029,1.3474847497014226
2030,1.428559925078658
2031,1.5140467548778882
2032,1.602255231184374
2033,1.6912624566565064
2034,1.7790751346780966
2035,1.8638049077074288
2036,1.9438246258142535
2037,2.0178793725241424
2038,2.0851389192876852
2039,2.1451929355943635
2040,2.198001624694729
2041,2.243819805818407
2042,2.2831120475409383
2043,2.316472342244543
2044,2.3445564336019857
2045,2.3680300621243666
2046,2.387532933976925
2047,2.4036562501122054
2048,2.4169308548710307
2049,2.4278230579758535
2050,2.436735583260905
2051,2.4440116426455876
2052,2.449940672589097
2053,2.454764730177538
2054,2.458684904813166
2055,2.4618673636768538
2056,2.4644488306095416
2057,2.4665414173735796
2058,2.468236800408275
2059,2.4696097790292555
2060,2.4707212730319488
2061,2.4716208264064057
2062,2.472348684587711
2063,2.4729375088518233
2064,2.4734137853803864
2065,2.473798979564793
2066,2.4741104791321322
2067,2.4743623631134324
2068,2.474566027762013
2069,2.474730695347115
2070,2.474863827292088
