year,genfactor_lvst_daily_nitrogen_buffalo,genfactor_lvst_daily_nitrogen_cattle_dairy,genfactor_lvst_daily_nitrogen_cattle_nondairy,genfactor_lvst_daily_nitrogen_chickens,genfactor_lvst_daily_nitrogen_goats,genfactor_lvst_daily_nitrogen_horses,genfactor_lvst_daily_nitrogen_mules,genfactor_lvst_daily_nitrogen_pigs,genfactor_lvst_daily_nitrogen_sheep
2015,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2016,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2017,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2018,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2019,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2020,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2021,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2022,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2023,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2024,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2025,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2026,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2027,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2028,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2029,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2030,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2031,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2032,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2033,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2034,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2035,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2036,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2037,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2038,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2039,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2040,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2041,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2042,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2043,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2044,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2045,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2046,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2047,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2048,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2049,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2050,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2051,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2052,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2053,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2054,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2055,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2056,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2057,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2058,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2059,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2060,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2061,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2062,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2063,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2064,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2065,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2066,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2067,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2068,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2069,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
2070,0.00041,0.0006,0.00063,0.00082,0.00137,0.00046,0.00046,0.00106,0.0017
