year,iso_alpha_3,elasticity_ippu_cement_production_to_gdp,elasticity_ippu_chemicals_production_to_gdp,elasticity_ippu_electronics_production_to_gdp,elasticity_ippu_glass_production_to_gdp,elasticity_ippu_lime_and_carbonite_production_to_gdp,elasticity_ippu_metals_production_to_gdp,elasticity_ippu_mining_production_to_gdp,elasticity_ippu_paper_production_to_gdp,elasticity_ippu_plastic_production_to_gdp,elasticity_ippu_rubber_and_leather_production_to_gdp,elasticity_ippu_textiles_production_to_gdp,elasticity_ippu_wood_production_to_gdp
2015,UGA,0.0,-5.143222222222196,2.927037037037025,2.9479444444444343,2.94794444444443,-1.77712962962962,2.927037037037025,2.0489259259259174,2.92703703703702,0.4390555555555514,0.4390555555555514,2.0489259259259174
2016,UGA,0.0,-7.835100000000056,4.459000000000038,4.490850000000035,4.490850000000035,-2.7072500000000197,4.459000000000038,3.1213000000000264,4.459000000000045,0.6688500000000022,0.6688500000000022,3.1213000000000264
2017,UGA,0.0,-3.905364312267648,2.222565055762077,2.23844052044609,2.2384405204460864,-1.349414498141261,2.222565055762077,1.555795539033454,2.2225650557620735,0.33338475836430975,0.33338475836430975,1.555795539033454
2018,UGA,3.119712269653614,3.305687179487188,0.4966290598290614,0.40351111111110893,0.4035111111111124,-0.4655897435897451,0.4966290598290614,-1.334690598290599,0.4966290598290614,3.0573726495726574,3.057372649572661,-1.3346905982906008
2019,UGA,7.364751181111347,5.018498245614031,1.5598035087719286,9.630091228070167,9.63009122807016,2.848336842105261,1.5598035087719286,-2.475340350877191,1.559803508771921,13.360056140350858,13.360056140350844,-2.4753403508771874
2020,UGA,6.555662209980972,1.55453124999999,-2.515514204545433,-1.0457755681818093,-1.0457755681818062,0.45222727272726887,-2.51551420454543,0.8479261363636291,-2.51551420454543,-1.554531249999993,-1.5545312499999868,0.8479261363636291
2021,UGA,0.2559184011483443,-0.567427966101697,0.1964173728813534,0.2837139830508449,0.28371398305084006,1.1348559322033893,0.1964173728813534,0.17459322033898295,0.1964173728813534,0.6765487288135565,0.6765487288135565,0.17459322033898295
2022,UGA,-2.6244978693220156,-2.855641741334546,2.055365149660498,-0.7050571073769809,-0.7050571073769809,-2.4027906241840378,2.055365149660498,0.9636188177182448,2.055365149660498,-1.4092890569102343,-1.409289056910238,0.9636188177182448
2023,UGA,0.5,-0.5,0.5,0.5,0.5,-0.4655897435897451,0.5,0.5,0.5,0.5,0.5,0.5
2024,UGA,0.5,-0.4787234042553192,0.5,0.5,0.5,-0.44504528096017604,0.5,0.5,0.5,0.5,0.5,0.5
2025,UGA,0.5,-0.4574468085106383,0.5,0.5,0.5,-0.424500818330607,0.5,0.5,0.5,0.5,0.5,0.5
2026,UGA,0.5,-0.43617021276595747,0.5,0.5,0.5,-0.40395635570103794,0.5,0.5,0.5,0.5,0.5,0.5
2027,UGA,0.5,-0.4148936170212766,0.5,0.5,0.5,-0.3834118930714689,0.5,0.5,0.5,0.5,0.5,0.5
2028,UGA,0.5,-0.39361702127659576,0.5,0.5,0.5,-0.36286743044189984,0.5,0.5,0.5,0.5,0.5,0.5
2029,UGA,0.5,-0.3723404255319149,0.5,0.5,0.5,-0.3423229678123308,0.5,0.5,0.5,0.5,0.5,0.5
2030,UGA,0.5,-0.35106382978723405,0.5,0.5,0.5,-0.32177850518276174,0.5,0.5,0.5,0.5,0.5,0.5
2031,UGA,0.5,-0.32978723404255317,0.5,0.5,0.5,-0.30123404255319275,0.5,0.5,0.5,0.5,0.5,0.5
2032,UGA,0.5,-0.30851063829787234,0.5,0.5,0.5,-0.2806895799236237,0.5,0.5,0.5,0.5,0.5,0.5
2033,UGA,0.5,-0.2872340425531915,0.5,0.5,0.5,-0.26014511729405465,0.5,0.5,0.5,0.5,0.5,0.5
2034,UGA,0.5,-0.26595744680851063,0.5,0.5,0.5,-0.23960065466448557,0.5,0.5,0.5,0.5,0.5,0.5
2035,UGA,0.5,-0.2446808510638298,0.5,0.5,0.5,-0.21905619203491655,0.5,0.5,0.5,0.5,0.5,0.5
2036,UGA,0.5,-0.22340425531914895,0.5,0.5,0.5,-0.1985117294053475,0.5,0.5,0.5,0.5,0.5,0.5
2037,UGA,0.5,-0.2021276595744681,0.5,0.5,0.5,-0.17796726677577845,0.5,0.5,0.5,0.5,0.5,0.5
2038,UGA,0.5,-0.18085106382978725,0.5,0.5,0.5,-0.1574228041462094,0.5,0.5,0.5,0.5,0.5,0.5
2039,UGA,0.5,-0.1595744680851064,0.5,0.5,0.5,-0.13687834151664036,0.5,0.5,0.5,0.5,0.5,0.5
