year,cost_enfu_fuel_ammonia_usd_per_tonne,cost_enfu_fuel_biomass_usd_per_tonne,cost_enfu_fuel_coal_usd_per_tonne,cost_enfu_fuel_coke_usd_per_tonne,cost_enfu_fuel_nuclear_usd_per_tonne
2015,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2016,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2017,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2018,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2019,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2020,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2021,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2022,477.0,209.77999999999997,113.74698210418606,191.93982751953487,1663000.0
2023,475.8552,209.98978,113.97447606839444,192.13176734705442,1660339.2000000002
2024,473.5710950400001,210.40975956,114.43037397266804,192.51603088174855,1655026.1145600004
2025,470.16138315571214,211.04098883868002,115.11695621650406,193.0935789743938,1647081.9892101123
2026,465.6478338774174,211.88515279403475,116.0378918662361,193.8659532902914,1636540.6644791677
2027,460.0600598708884,212.94457855800493,117.19827078489847,194.83528305674284,1623448.3391633346
2028,454.1303968769969,214.0802829769809,118.30514334231138,195.80945947202656,1609198.0704084563
2029,447.8734891866916,215.29340458051706,119.35674461646524,196.78850676938666,1593821.2888467754
2030,441.30467801195346,216.58516500800016,120.35138415493579,197.7724493032336,1577351.8021953588
2031,434.4399385762119,217.95687105305083,121.28745047614083,198.76131154974973,1559825.6710598548
2032,427.29581514184747,219.40991686007115,122.16341539624631,199.75511810749845,1541281.0769705877
2033,419.8893543460554,220.9457862780916,122.9778381655546,200.7538936980359,1521758.1833289603
2034,412.23803722241615,222.56605537746424,123.72936939878853,201.75766316652607,1501298.9899753153
2035,404.35971028883216,224.27239513535815,124.41675478433733,202.7664514823587,1479947.1821178885
2036,396.2725160830555,226.06657429644102,125.038838558259,203.78028373977045,1457747.9743861202
2037,387.95079324531133,227.9203202056718,125.60151333177116,204.7991851584693,1435152.8807831353
2038,379.4158757939145,229.83485089539946,126.10391938509825,205.82318108426162,1412190.4346906052
2039,370.6893106506545,231.8114306130999,126.5452831029461,206.85229698968294,1388889.2925182104
2040,361.7927671950388,233.85137120249522,126.92491895225496,207.88655847463133,1365278.1745454008
2041,352.7479480151628,235.95603354331766,127.2422312496356,208.92599126700446,1341385.8064908562
2042,343.5765013667686,238.1268290519162,127.49671571213489,209.97062122333944,1317240.861974021
2043,334.2999358298659,240.36522124500425,127.68796078570308,211.02047432945614,1292871.9060275014
2044,324.9395376266296,242.67272736895632,127.8156487464888,212.07557670110342,1268307.339812979
2045,315.51629103545736,245.05092009717208,127.87955657086205,213.13595458460892,1243575.346686626
2046,306.0508023043936,247.50142929814382,127.87955657086205,214.20163435753196,1218703.8397528934
2047,296.8692782352618,249.97644359112527,127.87955657086205,215.2726425293196,1194329.7629578356
2048,287.9631998882039,252.4762080270365,127.87955657086205,216.34900574196615,1170443.1676986788
2049,279.3243038915578,255.00097010730687,127.87955657086205,217.43075077067596,1147034.3043447053
2050,270.9445747748111,257.55097980837996,127.87955657086205,218.51790452452934,1124093.6182578113
2051,262.81623753156674,260.12648960646374,127.87955657086205,219.61049404715197,1101611.7458926549
2052,254.93175040561977,262.7277545025284,127.87955657086205,220.7085465173877,1079579.5109748018
2053,247.28379789345118,265.35503204755366,127.87955657086205,221.81208924997463,1057987.9207553058
2054,239.86528395664763,268.00858236802924,127.87955657086205,222.92114969622446,1036828.1623401997
2055,232.6693254379482,270.6886681917095,127.87955657086205,224.03575544470556,1016091.5990933956
2056,225.68924567480977,273.3955548736266,127.87955657086205,225.15593422192907,995769.7671115276
2057,218.91856830456547,276.1295104223629,127.87955657086205,226.2817138930387,975854.371769297
2058,212.3510112554285,278.8908055265865,127.87955657086205,227.41312246250385,956337.2843339111
2059,205.98048091776565,281.67971358185235,127.87955657086205,228.5501880748163,937210.538647233
2060,199.80106649023267,284.4965107176709,127.87955657086205,229.69293901519038,918466.3278742884
2061,193.80703449552567,287.3414758248476,127.87955657086205,230.8414037102663,900097.0013168026
2062,187.9928234606599,290.2148905830961,127.87955657086205,231.99561072881758,882095.0612904665
2063,182.3530387568401,293.11703948892705,127.87955657086205,233.15558878246165,864453.1600646571
2064,176.8824475941349,296.0482098838163,127.87955657086205,234.32136672637395,847164.0968633639
2065,171.57597416631086,299.00869198265445,127.87955657086205,235.4929735600058,830220.8149260966
2066,166.4286949413215,301.99877890248104,127.87955657086205,236.6704384278058,813616.3986275747
2067,161.43583409308187,305.01876669150585,127.87955657086205,237.85379061994482,797344.0706550231
