area_lndu_supremum_croplands_ha,area_lndu_supremum_flooded_ha,area_lndu_supremum_forests_mangroves_ha,area_lndu_supremum_forests_primary_ha,area_lndu_supremum_forests_secondary_ha,area_lndu_supremum_grasslands_ha,area_lndu_supremum_other_ha,area_lndu_supremum_pastures_ha,area_lndu_supremum_settlements_ha,area_lndu_supremum_shrublands_ha,area_lndu_supremum_wetlands_ha,year
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2015
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2016
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2017
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2018
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2019
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2020
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2021
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2022
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2023
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2024
20349850.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2025
20349968.333333336,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2026
20350086.666666668,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2027
20350205.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2028
20350323.333333332,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2029
20350441.666666668,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2030
20350560.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2031
20350678.333333332,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2032
20350796.666666668,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2033
20350915.0,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2034
20351033.333333332,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2035
20351151.666666668,3898020.0000000005,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2036
