year,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing
2015,309.9880973810834
2016,324.8148088590095
2017,335.01307601313846
2018,356.11564420129775
2019,379.06174529808806
2020,390.240615063191
2021,404.0474998257042
2022,422.56127712089227
2023,434.00959907977574
2024,434.00959907977574
2025,434.00959907977574
2026,434.00959907977574
2027,434.00959907977574
2028,434.00959907977574
2029,434.00959907977574
2030,434.00959907977574
2031,434.00959907977574
2032,434.00959907977574
2033,434.00959907977574
2034,434.00959907977574
2035,434.00959907977574
2036,434.00959907977574
2037,434.00959907977574
2038,434.00959907977574
2039,434.00959907977574
2040,434.00959907977574
2041,434.00959907977574
2042,434.00959907977574
2043,434.00959907977574
2044,434.00959907977574
2045,434.00959907977574
2046,434.00959907977574
2047,434.00959907977574
2048,434.00959907977574
2049,434.00959907977574
2050,434.00959907977574
2051,434.00959907977574
2052,434.00959907977574
2053,434.00959907977574
2054,434.00959907977574
2055,434.00959907977574
2056,434.00959907977574
2057,434.00959907977574
2058,434.00959907977574
2059,434.00959907977574
2060,434.00959907977574
2061,434.00959907977574
2062,434.00959907977574
2063,434.00959907977574
2064,434.00959907977574
2065,434.00959907977574
2066,434.00959907977574
2067,434.00959907977574
2068,434.00959907977574
2069,434.00959907977574
2070,434.00959907977574
2071,434.00959907977574
2072,434.00959907977574
2073,434.00959907977574
2074,434.00959907977574
2075,434.00959907977574
2076,434.00959907977574
2077,434.00959907977574
2078,434.00959907977574
2079,434.00959907977574
2080,434.00959907977574
2081,434.00959907977574
2082,434.00959907977574
2083,434.00959907977574
2084,434.00959907977574
2085,434.00959907977574
2086,434.00959907977574
2087,434.00959907977574
2088,434.00959907977574
2089,434.00959907977574
2090,434.00959907977574
2091,434.00959907977574
2092,434.00959907977574
2093,434.00959907977574
2094,434.00959907977574
2095,434.00959907977574
2096,434.00959907977574
2097,434.00959907977574
2098,434.00959907977574
2099,434.00959907977574
2100,434.00959907977574
