year,exports_lvst_buffalo,exports_lvst_cattle_dairy,exports_lvst_cattle_nondairy,exports_lvst_chickens,exports_lvst_goats,exports_lvst_horses,exports_lvst_mules,exports_lvst_pigs,exports_lvst_sheep
2015,0.0,119019.76973007886,2273.287807974049,2447783.782713479,56479.40961124049,0.0,0.8920885773927875,8398.406589176471,11770.110457007628
2016,0.0,120009.01056195969,2292.1823926919064,2468128.7024773755,56948.842028011844,0.0,0.8995032316843629,8468.210511160121,11867.938522767003
2017,0.0,121006.4735356383,2311.2340210231628,2488642.7204120844,57422.17616393065,0.0,0.9069795133744464,8538.594613142508,11966.57969308348
2018,0.0,122012.22699,2330.443998246387,2509327.2419884386,57899.44444839833,0.0,0.9145179346833111,8609.563717328765,12066.04072613035
2019,0.0,123026.33983193332,2349.81364048906,2530183.6843589414,58380.67958035554,0.0,0.9221190120885838,8681.12268600411,12166.32843625191
2020,0.0,124048.88154105107,2369.3442748177436,2551213.4764548508,58865.914530522336,0.0,0.9297832663606294,8753.276421866965,12267.449694430345
2021,0.0,125079.92217445053,2389.0372393290036,2572418.0590840844,59355.182543657174,0.0,0.937511222598231,8826.029868364874,12369.41142875647
2022,0.0,126119.5323715132,2408.8938832410854,2593798.8850299316,59848.5171408345,0.0,0.9453034102645655,8899.388010033164,12472.220624904385
2023,0.0,127167.78335874468,2428.9155669863517,2615357.419150588,60345.95212174147,0.0,0.9531603632234787,8973.35587283647,12575.884326610098
2024,0.0,128224.74695465434,2449.103662304491,2637095.138479517,60847.52156699359,0.0,0.9610826197760616,9047.938524513069,12680.409636154103
2025,0.0,129290.49557467605,2469.4595523365006,2659013.5323266457,61353.259840469764,0.0,0.9690707226975314,9123.141074922087,12785.803714847982
2026,0.0,130365.10223612934,2489.9846317194433,2681114.102380399,61863.20159166648,0.0,0.9771252192744172,9198.968676393588,12892.073783525024
2027,0.0,131448.6405632221,2510.680306682004,2703398.3628105875,62377.381758071926,0.0,0.9852466613420576,9275.42652408157,12999.22712303497
2028,0.0,132541.1847920949,2531.5479951408342,2725867.8403721475,62895.835567559596,0.0,0.9934356053224082,9352.519856319912,13107.271074742848
2029,0.0,133642.80977590688,2552.5891267976913,2748524.07450974,63418.59854080176,0.0,1.0016926122621623,9430.253954981255,13216.213041031911
2030,0.0,134753.5909899643,2573.8051432373964,2771368.617463223,63945.70649370317,0.0,1.0100182478711905,9508.634145838869,13326.060485810829
2031,0.0,135873.6045368915,2595.1974980266014,2794403.034374004,64477.1955398549,0.0,1.0184130825613003,9587.665798931566,13436.820935025062
2032,0.0,137002.92715184487,2616.7676568133743,2817628.9033922656,65013.10209300857,0.0,1.026877691485314,9667.354328931584,13548.501977172456
2033,0.0,138141.6362077703,2638.5170974276143,2841047.8157850932,65553.46286957111,0.0,1.0354126545764755,9747.705195515577,13661.111263823177
2034,0.0,139289.80972070407,2660.447309982306,2864661.3760454957,66098.31489112039,0.0,1.044018556588184,9828.723903738668,13774.65651014393
2035,0.0,140447.52635511803,2682.5597969756063,2888471.202002334,66647.6954869416,0.0,1.052695987134055,9910.416004411622,13889.145495426543
2036,0.0,141614.86542930908,2704.856073393789,2912478.924931162,67201.64229658477,0.0,1.0614455407283176,9992.787094481138,14004.586063620967
2037,0.0,142791.90692083348,2727.3376668150354,2936686.18966599,67760.19327244363,0.0,1.0702678168265458,10075.842817413311,14120.986123872655
2038,0.0,143978.73147198634,2750.0061175140977,2961094.6547119776,68323.38668235575,0.0,1.0791634198667286,10159.588863580291,14238.35365106446
2039,0.0,145175.4203953266,2772.8629785678245,2985705.9923590613,68891.26111222441,0.0,1.088132959310683,10244.030970650132,14356.696686363013
2040,0.0,146382.0556792481,2795.909815961569,3010521.8887965293,69463.85546866228,0.0,1.0971770496858086,10329.174923979914,14476.023337769646
2041,0.0,147598.7199935966,2819.148208696475,3035544.0442285435,70041.20898165689,0.0,1.1062963106271906,10415.02655701209,14596.34178067588
2042,0.0,148825.496695334,2842.579748897661,3060774.1729906276,70623.36120725847,0.0,1.1154913669200524,10501.591751674161,14717.660258423562
2043,0.0,150062.46983424912,2866.206041923302,3086214.0036671227,71210.35203029007,0.0,1.1247628485425631,10588.876438781685,14839.98708286963
2044,0.0,151309.72415871627,2890.0287064746135,3111865.2792096124,71802.22166708006,0.0,1.1341113907089968,10676.886598444564,14963.33063495557
2045,0.0,152567.3451215016,2914.049374706758,3137729.7570563415,72399.0106682176,0.0,1.1435376339132548,10765.628260476815,15087.699365281642
2046,0.0,153835.41888561763,2938.269692340663,3163809.2092526197,73000.75992133077,0.0,1.1530422239727456,10855.107504809635,15213.10179468583
2047,0.0,155114.0323302266,2962.6913187757773,3190105.4225722323,73607.51065388793,0.0,1.162625812072633,10945.330461907995,15339.546514827643
2048,0.0,156403.2730565928,2987.3159272037597,3216620.1986398534,74219.30443602233,0.0,1.1722890548104503,11036.303313190636,15467.042188776739
2049,0.0,157703.22939408425,3012.145204723116,3243355.3540544845,74836.18318338016,0.0,1.1820326142410853,11128.032291453572,15595.597551606474
2050,0.0,159013.9904062245,3037.1808524547805,3270312.720513908,75458.18915999233,0.0,1.1918571579221386,11220.523681297122,15725.221410992339
2051,0.0,160335.64589679457,3062.424585658674,3297494.1449401905,76085.36498117009,0.0,1.2017633589596632,11313.783819556485,15855.922647815427
2052,0.0,161668.28641598564,3087.8781338512117,3324901.4896062124,76717.75361642476,0.0,1.211751896054276,11407.819095735898,15987.710216770865
2053,0.0,163012.00326660296,3113.5432409238024,3352536.632263261,77355.3983924116,0.0,1.2218234535476606,11502.635952446382,16120.593146981331
2054,0.0,164366.88851032112,3139.4216652623268,3380401.466269682,77998.34299589829,0.0,1.2319787214694533,11598.240885847164,16254.580542615675
2055,0.0,165733.0349739915,3165.5151798676065,3408497.900720595,78646.63147675803,0.0,1.242218395584517,11694.640446090729,16389.681583512644
2056,0.0,167110.53625600223,3191.825572476879,3436827.8605786897,79300.30825098751,0.0,1.2525431774406117,11791.841237771592,16525.905525809838
2057,0.0,168499.48673269068,3218.3546456862823,3465393.2868061187,79959.41810374998,0.0,1.2629537744164594,11889.849920378816,16663.26170257788
2058,0.0,169899.98156480945,3245.104217074351,3494196.1364974664,80624.00619244351,0.0,1.2734508997702063,11988.673208752236,16801.75952445982
2059,0.0,171312.11670404617,3272.0761193265475,3523238.383013845,81294.11804979508,0.0,1.2840352726882942,12088.317873542546,16941.408480315917
2060,0.0,172735.9888995975,3299.2722003608224,3552522.0161180873,81969.79958697986,0.0,1.294707618334729,12188.79074167515,17082.218137873715
2061,0.0,174171.69570479737,3326.694323454222,3582049.0421110773,82651.09709676691,0.0,1.3054686679007679,12290.098696817908,17224.19814438359
2062,0.0,175619.33548380094,3354.3443673705433,3611821.4839692,83338.0572566907,0.0,1.3163191586550125,12392.248679852744,17367.35822727967
2063,0.0,177079.0074183237,3382.2242264890556,3641841.3814829467,84030.72713224926,0.0,1.327259833993922,12495.247689351192,17511.708194846313
2064,0.0,178550.8115144365,3410.3358109342903,3672110.791396666,84729.1541801286,0.0,1.3382914434927455,12599.102782053887,17657.257936890102
2065,0.0,180034.84860941753,3438.681046706907,3702631.787549474,85433.38625145418,0.0,1.349414742956878,12703.821073354036,17804.017425417405
2066,0.0,181531.22037866077,3467.2618758156495,3733406.461017341,86143.47159506941,0.0,1.3606304944736414,12809.409737784921,17951.996715317593
2067,0.0,183040.02934264202,3496.0802564103965,3764436.920256355,86859.45886084103,0.0,1.3719394664644966,12915.876009511425,18101.205945051926
2068,0.0,184561.37887394303,3525.138162916323,3795725.2912471797,87581.3971029926,0.0,1.3833424337376934,13023.2271828257,18251.65533734817
2069,0.0,186095.3732043336,3554.437586169172,3827273.717640712,88309.33578346507,0.0,1.3948401775413506,13131.470612646888,18403.355199900983
2070,0.0,187642.117431913,3583.980533551651,3859084.360904943,89043.32477530563,0.0,1.4064334856169844,13240.613715025034,18556.31592607812
2071,0.0,189201.7175283104,3613.7690291309646,3891159.400473056,89783.41436608476,0.0,1.4181231522534778,13350.66396764919,18710.54799563251
2072,0.0,190774.2803459453,3643.8051137974867,3923501.0338927354,90529.65526134134,0.0,1.4299099783414984,13461.628910359721,18866.061975420256
2073,0.0,192359.91362534824,3674.0908454045925,3956111.476976734,91282.09858805686,0.0,1.4417947714283712,13573.51614566488,19022.8685201246
2074,0.0,193958.72600254256,3704.6282989096403,3988992.963954681,92040.79589815807,0.0,1.4537783457734055,13686.333339261686,19180.978372985894
2075,0.0,195570.82701648705,3735.4195665161387,4022147.7476261538,92805.79917204913,0.0,1.4658615224036804,13800.088220561109,19340.402366537663
2076,0.0,197196.3271165811,3766.466757817086,4055578.0995150283,93577.16082217271,0.0,1.4780451291702987,13914.788583217638,19501.151423348754
2077,0.0,198835.3376702316,3797.771999939503,4089286.3100251015,94354.93369660115,0.0,1.490330000805102,14030.442285663254,19663.236556771695
2078,0.0,200487.97097048318,3829.337437690173,4123274.688597017,95139.17108265699,0.0,1.5027169789778618,14147.057251645816,19826.668871697228
2079,0.0,202154.34024371175,3861.165233702584,4157545.5638664896,95929.92671056403,0.0,1.5152069123539453,14264.64147077195,19991.459565315137
2080,0.0,203834.55965738173,3893.2575685850975,4192101.2838238473,96727.25475712842,0.0,1.5278006566524596,14383.202999054443,20157.619927881413
2081,0.0,205528.74432786822,3925.6166410703477,4226944.215974895,97531.20984945042,0.0,1.5404990747048763,14502.74995946416,20325.16134349176
2082,0.0,207237.01032834378,3958.2446681658853,4262076.747503128,98341.84706866722,0.0,1.553303036514152,14623.290542486598,20494.09529086157
2083,0.0,208959.47469673093,3991.1438853060667,4297501.285433269,99159.2219537265,0.0,1.5662134193143293,14744.83300668302,20664.433344112338
2084,0.0,210696.25544372087,4024.3165465052134,4333220.256796198,99983.39050519171,0.0,1.5792311076306418,14867.38567925628,20836.18717356467
2085,0.0,212447.4715608585,4057.764924512035,4369236.108795217,100814.4091890787,0.0,1.5923569933401132,14990.956956621338,21009.36854653781
2086,0.0,214213.243028695,4091.4913109653503,4405551.308973731,101652.33494072444,0.0,1.605591975732664,15115.555304980517,21183.989328155872
2087,0.0,215993.690825008,4125.498016551083,4442168.345384291,102497.22516868779,0.0,1.6189369615727227,15241.189260903562,21360.061482160752
2088,0.0,217788.93693309,4159.7873711605835,4479089.726759071,103349.1377586827,0.0,1.6323928651613524,15367.867431912486,21537.597071731787
2089,0.0,219599.10435010598,4194.361724050247,4516317.982681736,104208.13107754415,0.0,1.6459606083988898,15495.598497071296,21716.60826031225
2090,0.0,221424.31709552,4229.223444002474,4553855.663760759,105074.26397722698,0.0,1.6596411208481094,15624.391207580635,21897.107312442677
2091,0.0,223264.70021959243,4264.374919487959,4591705.341804166,105947.59579883805,0.0,1.6734353397979091,15754.254387377334,22079.106594601184
2092,0.0,225120.37981194703,4299.818558829331,4629869.609995739,106828.18637670173,0.0,1.6873442103275256,15885.19693373896,22262.61857605067
2093,0.0,226991.48301021024,4335.556790366154,4668351.083072683,107716.0960424596,0.0,1.701368685371287,16017.227817893423,22447.655829693187
2094,0.0,228878.13800872126,4371.592062621303,4707152.397504763,108611.38562920352,0.0,1.715509725783898,16150.35608563358,22634.23103293128
2095,0.0,230780.47406731526,4407.926844468711,4746276.2116749445,109514.11647564381,0.0,1.7297683004062723,16284.590857937012,22822.35696853659
2096,0.0,232698.62152017918,4444.563625302526,4785725.206061521,110424.3504303116,0.0,1.7441453861319098,16419.94133159091,23012.04652552563
2097,0.0,234632.71178478145,4481.5049152076635,4825502.083421761,111342.14985579625,0.0,1.7586419679738272,16556.4167798222,23203.31270004284
