year,frac_lndu_initial_croplands,frac_lndu_initial_flooded,frac_lndu_initial_forests_mangroves,frac_lndu_initial_forests_primary,frac_lndu_initial_forests_secondary,frac_lndu_initial_grasslands,frac_lndu_initial_other,frac_lndu_initial_pastures,frac_lndu_initial_settlements,frac_lndu_initial_shrublands,frac_lndu_initial_wetlands
2015,0.4345330069,0.1547358857,0.0,0.0075792285310287795,0.07428089366897121,0.15585008352670002,0.0005607097130273308,0.0562196994733,0.005356890986972669,0.0813114421,0.0295721595
2016,0.43717794330000004,0.15468247035,0.0,0.007659895243511149,0.07507147485648885,0.155594642832515,0.000594061979187286,0.056127554517484995,0.0053961310708127135,0.07500621495000001,0.03268961095
2017,0.4398228797,0.154629055,0.0,0.007740561955993519,0.07586205604400649,0.15533920213833,0.0006274142453472413,0.05603540956167,0.005435371154652759,0.0687009878,0.0358070624
2018,0.4429030109,0.15392981784999998,0.0,0.009100720171685357,0.08919240587831465,0.16181442360243997,0.0008128514527302364,0.05837121199756,0.007801921797269763,0.04000979965,0.036063836749999995
2019,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2020,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2021,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2022,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2023,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2024,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2025,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2026,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2027,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
2028,0.4459831421,0.1532305807,0.0,0.010460878387377194,0.1025227557126228,0.16828964506654998,0.0009982886601132316,0.06070701443345,0.010168472439886767,0.0113186115,0.0363206111
