year,frac_lvst_livestock_demand_imported_buffalo,frac_lvst_livestock_demand_imported_cattle_dairy,frac_lvst_livestock_demand_imported_cattle_nondairy,frac_lvst_livestock_demand_imported_chickens,frac_lvst_livestock_demand_imported_goats,frac_lvst_livestock_demand_imported_horses,frac_lvst_livestock_demand_imported_mules,frac_lvst_livestock_demand_imported_pigs,frac_lvst_livestock_demand_imported_sheep
2015,0.0,2.24520693460088e-07,5.8956775924661175e-08,1.9293003447428615e-05,2.445570511086105e-07,0.0,0.0,8.345494872252508e-07,1.3827703670135743e-07
2016,0.0,3.008981556184712e-07,8.037531377574018e-08,2.679121941249085e-05,3.324221401739476e-07,0.0,0.0,1.1300904064391096e-06,1.7662806132306291e-07
2017,0.0,3.8746539993247787e-07,1.0447878684458159e-07,3.34253410110704e-05,4.184856665788013e-07,0.0,0.0,1.425235360062852e-06,2.1410709928378837e-07
2018,0.0,5.764298025385599e-07,1.3910927065594613e-07,4.442236860385209e-05,5.58789710660989e-07,0.0,0.0,1.8863390979543534e-06,2.8387602984761e-07
2019,0.0,4.093631172778686e-07,1.2464096327954108e-07,4.6155187602934667e-05,4.921817941937218e-07,0.0,0.0,1.650219313908471e-06,2.535275395935923e-07
2020,0.0,4.885093313937066e-07,1.4549056243633122e-07,5.298058785093706e-05,5.745258137519161e-07,0.0,0.0,1.8962411786743363e-06,2.9536864913337206e-07
2021,0.0,8.02902945059457e-07,2.254557568803164e-07,7.711334579183003e-05,8.713698669264448e-07,0.0,0.0,2.892699629432545e-06,4.506895735127877e-07
2022,0.0,7.428716305654355e-07,1.9080563051831286e-07,6.456753706018102e-05,7.337372574985048e-07,0.0,0.0,2.4153767347115834e-06,3.7719827100744033e-07
2023,0.0,8.286454065896608e-07,2.2788446462453043e-07,7.715032277130276e-05,8.763461002499447e-07,0.0,0.0,2.8847917461576343e-06,4.5050728999084955e-07
2024,0.0,9.062671238208382e-07,2.4953652281749075e-07,8.452033399957753e-05,9.596364312620172e-07,0.0,0.0,3.1589303572683352e-06,4.93321334332094e-07
2025,0.0,9.83900343029466e-07,2.7118864086733566e-07,9.189766098213151e-05,1.0429317019795257e-06,0.0,0.0,3.4330779482120927e-06,5.36137296572019e-07
2026,0.0,1.0615452082275956e-06,2.928408195217543e-07,9.928240557189759e-05,1.1262319737312515e-06,0.0,0.0,3.7072346316680403e-06,5.789552004605692e-07
2027,0.0,1.1392018650675243e-06,3.14493059536651e-07,0.00010667467100225525,1.2095373085302958e-06,0.0,0.0,3.981400521564749e-06,6.217750700117852e-07
2028,0.0,1.2168704608598267e-06,3.3614536167626635e-07,0.00011407456190744686,1.2928477690815022e-06,0.0,0.0,4.255575733093833e-06,6.64596929506668e-07
2029,0.0,1.2945511445917792e-06,3.5779772671323964e-07,0.00012148218434332183,1.3761634187887168e-06,0.0,0.0,4.5297603827229e-06,7.074208034959493e-07
2030,0.0,1.3722440669458958e-06,3.794501554287019e-07,0.0001288976458084478,1.4594843217622443e-06,0.0,0.0,4.80395458820903e-06,7.502467168029529e-07
2031,0.0,1.4499493803186765e-06,4.0110264861236933e-07,0.0001363210552655851,1.5428105428263844e-06,0.0,0.0,5.078158468612398e-06,7.930746945264853e-07
2032,0.0,1.5276672388396588e-06,4.2275520706260806e-07,0.0001437525231635212,1.626142147526926e-06,0.0,0.0,5.352372144309645e-06,8.359047620436945e-07
2033,0.0,1.6053977983904963e-06,4.4440783158656043e-07,0.00015119216145930483,1.7094792021389598e-06,0.0,0.0,5.626595737008151e-06,8.787369450130819e-07
2034,0.0,1.6831412166244467e-06,4.660605230002106e-07,0.00015864008364084472,1.792821773674533e-06,0.0,0.0,5.900829369759698e-06,9.215712693774232e-07
2035,0.0,1.7608976529859795e-06,4.877132821284832e-07,0.00016609640474991294,1.8761699298905052e-06,0.0,0.0,6.175073166974649e-06,9.644077613667787e-07
2036,0.0,1.8386672687306112e-06,5.093661098053402e-07,0.0001735612414055498,1.959523739296488e-06,0.0,0.0,6.449327254436268e-06,1.0072464475015366e-06
2037,0.0,1.9164502269450557e-06,5.310190068738509e-07,0.0001810347118278687,2.0428832711627446e-06,0.0,0.0,6.723591759314815e-06,1.0500873545954275e-06
2038,0.0,1.9942466925674205e-06,5.526719741863222e-07,0.00018851693586230061,2.126248595528414e-06,0.0,0.0,6.997866810182546e-06,1.0929305097586901e-06
2039,0.0,2.072056832407815e-06,5.743250126043698e-07,0.00019600803500424452,2.2096197832095876e-06,0.0,0.0,7.2721525370281e-06,1.13577594040115e-06
2040,0.0,2.1498808151691067e-06,5.959781229990199e-07,0.00020350813242416463,2.292996905807578e-06,0.0,0.0,7.546449071271422e-06,1.1786236742353887e-06
2041,0.0,2.2277188114679023e-06,6.176313062508122e-07,0.00021101735299313318,2.376380035717289e-06,0.0,0.0,7.820756545778826e-06,1.2214737392799482e-06
2042,0.0,2.3055709938558744e-06,6.392845632498736e-07,0.00021853582330881642,2.459769246135543e-06,0.0,0.0,8.095075094877839e-06,1.2643261638625066e-06
2043,0.0,2.383437536841137e-06,6.609378948960547e-07,0.00022606367172194638,2.543164611069742e-06,0.0,0.0,8.36940485437298e-06,1.3071809766232083e-06
2044,0.0,2.461318616910053e-06,6.825913020990038e-07,0.00023360102836324491,2.626566205346378e-06,0.0,0.0,8.643745961560893e-06,1.3500382065179082e-06
2045,0.0,2.539214412549199e-06,7.042447857782747e-07,0.000241148025170842,2.709974104619753e-06,0.0,0.0,8.918098555246065e-06,1.3928978828215093e-06
2046,0.0,2.617125104267582e-06,7.258983468634348e-07,0.0002487047959181885,2.793388385380791e-06,0.0,0.0,9.192462775756673e-06,1.435760035131335e-06
2047,0.0,2.695050874619198e-06,7.475519862941436e-07,0.0002562714762424618,2.8768091249658253e-06,0.0,0.0,9.46683876496021e-06,1.4786246933704761e-06
2048,0.0,2.772991908225675e-06,7.692057050202926e-07,0.00026384820367350895,2.9602364015657133e-06,0.0,0.0,9.741226666280074e-06,1.5214918877912949e-06
2049,0.0,2.8509483917993467e-06,7.908595040020874e-07,0.0002714351176632937,3.043670294234812e-06,0.0,0.0,1.0015626624711512e-05,1.5643616489788427e-06
2050,0.0,2.9289205141665107e-06,8.125133842101583e-07,0.00027903235961589215,3.127110882900166e-06,0.0,0.0,1.0290038786838158e-05,1.6072340078543732e-06
2051,0.0,3.0069084662909486e-06,8.34167346625674e-07,0.0002866400729180374,3.2105582483707933e-06,0.0,0.0,1.0564463300848694e-05,1.6501089956788954e-06
2052,0.0,3.0849124412978075e-06,8.558213922404261e-07,0.0002942584029702137,3.294012472346952e-06,0.0,0.0,1.0838900316553335e-05,1.6929866440567004e-06
2053,0.0,3.1629326344975787e-06,8.774755220569732e-07,0.00030188749721834574,3.3774736374297386e-06,0.0,0.0,1.1113349985401236e-05,1.7358669849390445e-06
2054,0.0,3.240969243410529e-06,8.991297370887292e-07,0.0003095275051860507,3.460941827130553e-06,0.0,0.0,1.138781246049731e-05,1.7787500506277546e-06
2055,0.0,3.319022467791327e-06,9.207840383600782e-07,0.00031717857850750063,3.5444171258807826e-06,0.0,0.0,1.1662287896619609e-05,1.8216358737789267e-06
2056,0.0,3.3970925096539546e-06,9.424384269064958e-07,0.0003248408709608941,3.6278996190415855e-06,0.0,0.0,1.1936776450236875e-05,1.8645244874066655e-06
2057,0.0,3.4751795732969944e-06,9.640929037746353e-07,0.00033251453850254345,3.7113893929136608e-06,0.0,0.0,1.2211278279525893e-05,1.9074159248868e-06
2058,0.0,3.55328386532903e-06,9.85747470022482e-07,0.0003401997393016197,3.7948865347473634e-06,0.0,0.0,1.2485793544389789e-05,1.9503102199607646e-06
