year,frac_trns_fuelmix_powered_bikes_electricity,frac_trns_fuelmix_powered_bikes_gasoline
2015,0.0,1.0
2016,0.0,1.0
2017,0.0,1.0
2018,0.0,1.0
2019,0.0018633697453611716,0.998136630254639
2020,0.0056431907693308405,0.9943568092306692
2021,0.010248873902148996,0.989751126097851
2022,0.015810755128924645,0.9841892448710754
2023,0.022356681695745288,0.9776433183042548
2024,0.029875874747913964,0.9701241252520861
2025,0.038362638436572644,0.9616373615634274
2026,0.0478413033042959,0.9521586966957041
2027,0.05837353751686993,0.9416264624831301
2028,0.07004869469380347,0.9299513053061966
2029,0.0829573594438706,0.9170426405561295
2030,0.09714786441879877,0.9028521355812011
2031,0.11256544887929117,0.8874345511207088
2032,0.12897407494324578,0.8710259250567541
2033,0.146050517866806,0.8539494821331939
2034,0.16345018217924506,0.8365498178207549
2035,0.18084984074267904,0.8191501592573209
2036,0.19797243686633922,0.8020275631336609
2037,0.21459865032317743,0.7854013496768226
2038,0.2305692771549324,0.7694307228450677
2039,0.2457817360656411,0.7542182639343589
2040,0.26018327749123504,0.7398167225087651
2041,0.27376278956765865,0.7262372104323412
2042,0.28654249776558655,0.7134575022344135
2043,0.298570353199991,0.7014296468000091
2044,0.3099134973928042,0.6900865026071957
2045,0.3206528698618836,0.6793471301381163
2046,0.3308787770728548,0.6691212229271452
2047,0.3406870543626792,0.6593129456373207
2048,0.35017531579015726,0.6498246842098427
2049,0.35943869370814613,0.6405613062918539
2050,0.36856441859306316,0.6314355814069368
2051,0.3776245848126014,0.6223754151873986
2052,0.3866665006536632,0.613333499346337
2053,0.39571813140808215,0.6042818685919178
2054,0.40479302547500795,0.5952069745249922
2055,0.4138944514407797,0.5861055485592203
2056,0.4230186181559503,0.5769813818440498
2057,0.4321569525191263,0.5678430474808737
2058,0.44129748016847875,0.5587025198315212
2059,0.45042540199701714,0.5495745980029829
2060,0.4595229933179056,0.5404770066820944
2061,0.4685689806529528,0.5314310193470471
2062,0.477537580274382,0.522462419725618
2063,0.4863974180208236,0.5136025819791764
2064,0.49511059491559717,0.5048894050844028
2065,0.503632218925978,0.4963677810740221
2066,0.511910788358231,0.48808921164176894
2067,0.5198898822232857,0.48011011777671425
2068,0.5275116789156333,0.47248832108436667
2069,0.5347228736536174,0.4652771263463826
2070,0.5414835790495871,0.45851642095041284
2071,0.5477797479257547,0.4522202520742452
2072,0.5536395232347097,0.4463604767652903
2073,0.5591157265640355,0.44088427343596454
2074,0.5642727101632306,0.43572728983676956
2075,0.5691770442770632,0.4308229557229367
2076,0.5738913962628726,0.4261086037371276
2077,0.5784709357893701,0.42152906421062997
2078,0.5829616394433794,0.41703836055662064
2079,0.5873999430478263,0.41260005695217383
2080,0.5918132819251222,0.4081867180748778
2081,0.5962211547477143,0.40377884525228563
2082,0.6006364366225839,0.3993635633774159
2083,0.6050667464229761,0.3949332535770238
2084,0.6095157396162937,0.39048426038370626
2085,0.6139842503994323,0.3860157496005677
2086,0.6184712465868842,0.3815287534131158
2087,0.622974588909651,0.37702541109034915
2088,0.6274916050468231,0.37250839495317695
2089,0.6320194997825245,0.3679805002174754
2090,0.6365556280114345,0.36344437198856555
2091,0.6410976585450526,0.35890234145494726
2092,0.6456436551697665,0.35435634483023337
2093,0.65019209826861,0.34980790173139
2094,0.654741866368857,0.3452581336311431
2095,0.6592921928116239,0.3407078071883762
2096,0.663842608758215,0.3361573912417849
2097,0.6683928801998044,0.3316071198001956
2098,0.672942943658846,0.3270570563411539
2099,0.6774928429223093,0.32250715707769073
2100,0.682042667441517,0.31795733255848313
