year,frac_trns_fuelmix_road_heavy_freight_biofuels,frac_trns_fuelmix_road_heavy_freight_diesel,frac_trns_fuelmix_road_heavy_freight_electricity,frac_trns_fuelmix_road_heavy_freight_gasoline,frac_trns_fuelmix_road_heavy_freight_hydrocarbon_gas_liquids,frac_trns_fuelmix_road_heavy_freight_hydrogen,frac_trns_fuelmix_road_heavy_freight_natural_gas
2015,0.0,0.4302325581395348,0.0,0.5697674418604652,0.0,0.0,0.0
2016,0.0,0.4302325581395353,0.0,0.5697674418604647,0.0,0.0,0.0
2017,0.0,0.43023255813953587,0.0,0.5697674418604641,0.0,0.0,0.0
2018,0.0004903277331767171,0.43002160318456506,0.0,0.5694880690822582,0.0,0.0,0.0
2019,0.0034565072205733766,0.42864493142175075,0.0002336521775243479,0.5676649091801516,0.0,0.0,0.0
2020,0.006878757026828947,0.4269137758544105,0.0008351693656283892,0.5653722977531321,0.0,0.0,0.0
2021,0.010855293365693946,0.42488464620921995,0.0015749884182884033,0.5626850720067976,0.0,0.0,0.0
2022,0.015415416508492806,0.42253465655865313,0.0024770033822131225,0.5595729235506409,0.0,0.0,0.0
2023,0.020479873792893025,0.4198944000944873,0.0035493584199283957,0.5560763676926913,0.0,0.0,0.0
2024,0.02590815819240616,0.4170229158226603,0.004795334760337011,0.5522735912245965,0.0,0.0,0.0
2025,0.03153285466688422,0.41398968972360944,0.0062208394890573395,0.5482566161204491,0.0,0.0,0.0
2026,0.037183408093341044,0.41086259389950797,0.00783867095105136,0.5441153270560997,0.0,0.0,0.0
2027,0.04270180365458066,0.40770064216974766,0.009669676707631697,0.53992787746804,0.0,0.0,0.0
2028,0.04795255864965675,0.40455052113729306,0.011740824652853978,0.5357560955601962,0.0,0.0,0.0
2029,0.05282919839970917,0.40144599703749834,0.014080105783404363,0.5316446987793881,0.0,0.0,0.0
2030,0.05725908041832301,0.3984094654101629,0.016708108087785143,0.5276233460837289,0.0,0.0,0.0
2031,0.061208071854519513,0.3954550759288449,0.01962607598654312,0.5237107762300925,0.0,0.0,0.0
2032,0.06468618914124241,0.3925930086001944,0.022800331409655622,0.5199204708489076,0.0,0.0,0.0
2033,0.06773095312685735,0.3898298182811089,0.02617811789542813,0.5162611106966056,0.0,0.0,0.0
2034,0.07039460037646014,0.38716894568820026,0.02969920153745042,0.5127372523978891,0.0,0.0,0.0
2035,0.07273482228690874,0.38461126946664964,0.033303848682497854,0.5093500595639439,0.0,0.0,0.0
2036,0.0748085531311003,0.3821556093358555,0.03693786841258452,0.5060979691204597,0.0,0.0,0.0
2037,0.07666827052532797,0.3797991198782227,0.040555396784746955,0.5029772128117024,0.0,0.0,0.0
2038,0.07836027657825184,0.37753753871387036,0.04412003884356116,0.4999821458643167,0.0,0.0,0.0
2039,0.07992446997954716,0.3753652727364686,0.04760489609244303,0.4971053611915412,0.0,0.0,0.0
2040,0.08139517868971999,0.37327532326079027,0.050991907785198215,0.49433759026429147,0.0,0.0,0.0
2041,0.08280268476918075,0.3712590669975536,0.0542708351824498,0.49166741305081585,0.0,0.0,0.0
