frac_trns_mtkm_dem_freight_aviation,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_water_borne,year
0.01,0.3,0.55,0.14,2020
0.01,0.305,0.545,0.14,2021
0.01,0.31,0.54,0.14,2022
0.01,0.315,0.535,0.14,2023
0.01,0.32,0.53,0.14,2024
0.01,0.325,0.525,0.14,2025
0.01,0.33,0.52,0.14,2026
0.01,0.33499999999999996,0.515,0.14,2027
0.01,0.33999999999999997,0.51,0.14,2028
0.01,0.345,0.505,0.14,2029
0.01,0.35,0.5,0.14,2030
0.01,0.355,0.49500000000000005,0.14,2031
0.01,0.36,0.49000000000000005,0.14,2032
0.01,0.365,0.48500000000000004,0.14,2033
0.01,0.37,0.48000000000000004,0.14,2034
0.01,0.375,0.47500000000000003,0.14,2035
0.01,0.38,0.47000000000000003,0.14,2036
0.01,0.385,0.465,0.14,2037
0.01,0.39,0.46,0.14,2038
0.01,0.395,0.455,0.14,2039
0.01,0.4,0.45,0.14,2040
0.01,0.405,0.445,0.14,2041
0.01,0.41000000000000003,0.44000000000000006,0.14,2042
0.01,0.41500000000000004,0.43500000000000005,0.14,2043
0.01,0.42000000000000004,0.43000000000000005,0.14,2044
0.01,0.42500000000000004,0.42500000000000004,0.14,2045
0.01,0.43000000000000005,0.42000000000000004,0.14,2046
0.01,0.43500000000000005,0.41500000000000004,0.14,2047
0.01,0.44,0.41000000000000003,0.14,2048
0.01,0.445,0.405,0.14,2049
0.01,0.45,0.4,0.14,2050
0.01,0.45,0.4,0.14,2051
0.01,0.45,0.4,0.14,2052
0.01,0.45,0.4,0.14,2053
0.01,0.45,0.4,0.14,2054
0.01,0.45,0.4,0.14,2055
0.01,0.45,0.4,0.14,2056
0.01,0.45,0.4,0.14,2057
0.01,0.45,0.4,0.14,2058
0.01,0.45,0.4,0.14,2059
0.01,0.45,0.4,0.14,2060
0.01,0.45,0.4,0.14,2061
0.01,0.45,0.4,0.14,2062
0.01,0.45,0.4,0.14,2063
0.01,0.45,0.4,0.14,2064
0.01,0.45,0.4,0.14,2065
0.01,0.45,0.4,0.14,2066
0.01,0.45,0.4,0.14,2067
0.01,0.45,0.4,0.14,2068
0.01,0.45,0.4,0.14,2069
0.01,0.45,0.4,0.14,2070
0.01,0.45,0.4,0.14,2071
0.01,0.45,0.4,0.14,2072
0.01,0.45,0.4,0.14,2073
0.01,0.45,0.4,0.14,2074
0.01,0.45,0.4,0.14,2075
0.01,0.45,0.4,0.14,2076
0.01,0.45,0.4,0.14,2077
0.01,0.45,0.4,0.14,2078
0.01,0.45,0.4,0.14,2079
0.01,0.45,0.4,0.14,2080
0.01,0.45,0.4,0.14,2081
0.01,0.45,0.4,0.14,2082
0.01,0.45,0.4,0.14,2083
0.01,0.45,0.4,0.14,2084
0.01,0.45,0.4,0.14,2085
0.01,0.45,0.4,0.14,2086
0.01,0.45,0.4,0.14,2087
0.01,0.45,0.4,0.14,2088
0.01,0.45,0.4,0.14,2089
0.01,0.45,0.4,0.14,2090
0.01,0.45,0.4,0.14,2091
0.01,0.45,0.4,0.14,2092
0.01,0.45,0.4,0.14,2093
0.01,0.45,0.4,0.14,2094
0.01,0.45,0.4,0.14,2095
0.01,0.45,0.4,0.14,2096
0.01,0.45,0.4,0.14,2097
0.01,0.45,0.4,0.14,2098
0.01,0.45,0.4,0.14,2099
0.01,0.45,0.4,0.14,2100
