frac_trns_pkm_dem_private_and_public_human_powered,frac_trns_pkm_dem_private_and_public_powered_bikes,frac_trns_pkm_dem_private_and_public_public,frac_trns_pkm_dem_private_and_public_road_light,frac_trns_pkm_dem_private_and_public_water_borne,year
0.5400012410968538,0.10694825417118847,0.27914119321005687,0.07390931152190085,0.0,2015
0.5400012410968538,0.10694825417118847,0.27914119321005687,0.07390931152190085,0.0,2016
0.5400012410968538,0.10694825417118847,0.27914119321005687,0.07390931152190085,0.0,2017
0.5400012410968538,0.10694825417118847,0.27914119321005687,0.07390931152190085,0.0,2018
0.5400012410968538,0.10694825417118847,0.27914119321005687,0.07390931152190085,0.0,2019
0.5400012410968538,0.10694825417118847,0.27914119321005687,0.07390931152190085,0.0,2020
0.5270011997269587,0.10504997903214885,0.2865031534363883,0.07977900113783748,0.0016666666666666668,2021
0.5140011583570635,0.10315170389310924,0.2938651136627197,0.08564869075377413,0.0033333333333333335,2022
0.5010011169871684,0.10125342875406962,0.3012270738890512,0.09151838036971076,0.005,2023
0.48800107561727324,0.09935515361503001,0.30858903411538263,0.0973880699856474,0.006666666666666667,2024
0.47500103424737816,0.0974568784759904,0.31595099434171403,0.10325775960158404,0.008333333333333333,2025
0.46200099287748303,0.09555860333695078,0.3233129545680455,0.10912744921752068,0.01,2026
0.4490009515075879,0.09366032819791116,0.33067491479437694,0.11499713883345732,0.011666666666666667,2027
0.43600091013769277,0.09176205305887154,0.3380368750207084,0.12086682844939395,0.013333333333333334,2028
0.42300086876779763,0.08986377791983194,0.3453988352470398,0.1267365180653306,0.015000000000000001,2029
0.4100008273979025,0.08796550278079232,0.35276079547337125,0.13260620768126724,0.016666666666666666,2030
0.39700078602800737,0.0860672276417527,0.3601227556997027,0.1384758972972039,0.018333333333333333,2031
0.3840007446581123,0.08416895250271308,0.36748471592603416,0.1443455869131405,0.02,2032
0.3710007032882171,0.08227067736367347,0.37484667615236555,0.15021527652907715,0.021666666666666667,2033
