year,pop_lvst_initial_buffalo,pop_lvst_initial_cattle_dairy,pop_lvst_initial_cattle_nondairy,pop_lvst_initial_chickens,pop_lvst_initial_goats,pop_lvst_initial_horses,pop_lvst_initial_mules,pop_lvst_initial_pigs,pop_lvst_initial_sheep
2015,0,7983341,5490954,56205348,15057281,12327,62369,5977315,3463241
2016,0,8175087,5622837,56512994,15463411,12344,62457,6162007,3784145
2017,0,8073239,5552786,58084190,15767270,12364,62554,6271907,4006795
2018,0,8291158,5702671,59699336,16145866,12385,62661,6479495,4132092
2019,0,8412351,5786027,52642994,16663116,12406,62768,6732874,4206008
2020,0,8488025,5838076,53959038,16812587,12419,62836,6900777,4251980
2021,0,8577924,5899909,57844910,17358355,12418,62827,7083942,4363756
2022,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2023,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2024,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2025,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2026,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2027,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2028,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2029,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2030,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2031,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2032,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2033,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2034,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2035,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2036,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2037,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2038,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2039,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2040,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2041,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2042,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2043,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2044,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2045,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2046,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2047,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2048,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2049,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2050,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2051,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2052,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2053,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2054,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2055,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2056,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2057,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2058,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2059,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2060,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2061,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2062,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2063,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2064,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2065,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2066,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2067,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2068,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2069,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2070,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2071,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2072,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2073,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2074,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2075,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2076,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2077,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2078,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2079,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2080,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2081,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2082,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2083,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2084,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2085,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2086,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2087,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2088,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2089,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2090,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2091,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2092,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2093,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2094,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2095,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2096,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2097,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2098,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2099,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
2100,0,8609217,5921432,58661638,17509793,12428,62882,7206053,4428657
