year,population_gnrl_rural,population_gnrl_urban
1950,5259623,155176
1951,5398130,167554
1952,5541329,180536
1953,5690012,194173
1954,5844177,208492
1955,6003709,223516
1956,6166191,241520
1957,6334115,260424
1958,6508091,280289
1959,6688393,301168
1960,6871459,322935
1961,7053991,348716
1962,7243450,375828
1963,7442143,404456
1964,7649866,434664
1965,7865547,466462
1966,8088624,501052
1967,8321457,537559
1968,8565067,576142
1969,8813086,616450
1970,9060209,658145
1971,9312924,684698
1972,9539786,709786
1973,9758252,734656
1974,9995742,761375
1975,10250124,789831
1976,10511541,822231
1977,10781369,855936
1978,11059362,890957
1979,11317234,925013
1980,11542810,957027
1981,11744903,1019238
1982,11976740,1086043
1983,12233340,1157340
1984,12519963,1233965
1985,12829992,1315625
1986,13152125,1411448
1987,13507132,1514592
1988,13883610,1624251
1989,14276346,1740157
1990,14680968,1862053
1991,15109120,1985655
1992,15569046,2118090
1993,16050295,2258388
1994,16529960,2403577
1995,16917720,2540137
1996,17302150,2688516
1997,17729927,2848737
1998,18181543,3018321
1999,18693941,3204062
2000,19201949,3395506
2001,19695476,3603932
2002,20215791,3824804
2003,20754806,4057162
2004,21273793,4293670
2005,21791078,4537890
2006,22304919,4806212
2007,22833165,5087164
2008,23373872,5380789
2009,23925742,5687239
2010,24490369,6007345
2011,25048172,6356958
2012,25610385,6720193
2013,26174905,7096855
2014,26772504,7495889
2015,27415805,7922107
2016,28126956,8404570
2017,28903581,8925631
2018,29672226,9464281
2019,30457624,10028890
2020,31243802,10615042
2021,31996822,11230833
2022,32696899,11850618
2023,33340889,12471966
2024,33786906,13038714
2025,34021897,13539081
2026,34249768,14066453
2027,34481269,14609266
2028,34715860,15167816
2029,34953184,15742472
2030,35203042,16338317
2031,35449905,16958971
2032,35698610,17597617
2033,35945186,18252830
2034,36190509,18925503
2035,36438468,19618225
2036,36687216,20327606
2037,36935757,21056609
2038,37182833,21805102
2039,37420691,22568977
2040,37650711,23349288
2041,37877765,24143637
2042,38095266,24953718
2043,38298536,25776584
2044,38482596,26608744
2045,38642590,27446418
2046,38769171,28301495
2047,38877625,29165895
2048,38966634,30038289
2049,39030689,30913903
2050,39070478,31792509
2051,38932957,32831784
2052,38771038,33879628
2053,38585277,34935745
2054,38373283,35997090
2055,38134634,37062154
2056,37926252,38078839
2057,37699152,39102900
2058,37453933,40134406
2059,37189594,41171700
2060,36905389,42213232
2061,36582189,43288336
2062,36245108,44374670
2063,35889776,45466544
2064,35518552,46566308
2065,35130850,47672690
2066,34702738,48811245
2067,34260452,49959641
2068,33802517,51115365
2069,33327910,52276252
2070,32838868,53445148
2071,32308346,54644293
2072,31759855,55845142
2073,31193571,57046774
2074,30610154,58249101
2075,30012590,59456716
2076,29373679,60691999
2077,28716125,61922151
2078,28041586,63148741
2079,27349451,64368409
2080,26641064,65582092
2081,25891265,66816241
2082,25125184,68040768
2083,24345942,69261687
2084,23551666,70471466
2085,22742029,71665942
2086,21893021,72874910
2087,21034071,74081007
2088,20165493,75283604
2089,19286955,76479461
2090,18398708,77667052
2091,17473958,78866757
2092,16541243,80060499
2093,15601467,81250344
2094,14653391,82427117
2095,13699681,83602463
2096,12713596,84795595
2097,11720392,85972447
2098,10722328,87144700
2099,9720409,88318504
2100,8714035,89486907
