year,frac_trns_mtkm_dem_freight_aviation,frac_trns_mtkm_dem_freight_rail_freight,frac_trns_mtkm_dem_freight_road_heavy_freight,frac_trns_mtkm_dem_freight_water_borne
2015,84.80793674910771,63.60595256183078,36882.97169218695,5372.5827930559735
2016,88.86429510557524,66.64822132918142,38647.08194141467,5629.553094938192
2017,91.65438286399203,68.74078714799403,39860.49110755013,5806.305154433895
2018,97.4277183025622,73.07078872692165,42371.314689784296,6172.045954467315
2019,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2019,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2020,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2021,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2022,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2023,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2024,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2025,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2026,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2027,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2028,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2029,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2030,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2031,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2032,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2033,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2034,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2035,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2036,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2037,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2038,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2039,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2040,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2041,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2042,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2043,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2044,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2045,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2046,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2047,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2048,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2049,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2050,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2051,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2052,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2053,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2054,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2055,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2056,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2057,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2058,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2059,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2060,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2061,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
2062,103.705415759,77.77906181925,45101.4853135891,6569.7380883326505
