year,prodinit_ippu_cement_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_textiles_tonne,prodinit_ippu_recycled_metals_tonne,prodinit_ippu_recycled_rubber_and_leather_tonne,prodinit_ippu_recycled_textiles_tonne,prodinit_ippu_recycled_plastic_tonne,prodinit_ippu_wood_tonne,prodinit_ippu_recycled_glass_tonne,prodinit_ippu_recycled_paper_tonne
2015,2557000.0,82221.10382,99844.36679,6978.867111,188071.4111,6740.876602,448252.5694,50493.79028,453038.4103,50906.96393,17640.2972,0.0,0.0,0.0,0.0,1424850.75,0.0,0.0
2016,2557000.0,93732.05835480001,113922.42250739,7962.8873736509995,206502.40938780003,6882.435010642,511007.929116,57562.920919200005,414530.1454245,38383.85080322,18010.7434412,0.0,0.0,0.0,0.0,1564486.1235000002,0.0,0.0
2017,2557000.0,106854.54652447203,129985.48408093199,9085.65449333579,226739.64550780444,7026.966145865481,582549.0391922401,65621.72984788801,379295.0830634175,28941.423505627878,18388.9690534652,0.0,0.0,0.0,0.0,1717805.7636030004,0.0,0.0
2018,2557000.0,121814.18303789812,148313.4373363434,10366.731776896138,248960.1307675693,7174.532434928656,664105.9046791538,74808.77202659234,347055.001003027,21821.83332324342,18775.137403587967,0.0,0.0,0.0,0.0,1886150.7284360947,0.0,0.0
2019,3071000.0,125712.23689511087,152169.58670708834,10636.266803095437,227549.55952155835,8587.915324609601,685357.2936288868,77202.6527314433,336643.3509729362,26469.88382109427,22473.839472094798,0.0,0.0,0.0,0.0,1723941.7657905906,0.0,0.0
2020,3738000.0,131494.99979228596,195385.74933190143,13656.966575174542,210938.4416764846,11971.553962505783,716883.7291358156,80753.9747570897,364921.3924546629,30387.426626616227,31328.532224100145,0.0,0.0,0.0,0.0,1598094.0168878776,0.0,0.0
2021,4605000.0,119791.94481077252,188156.4766066211,13151.658811893083,217266.59492677913,11313.118494567963,653081.0772427281,73566.87100370871,370760.1347339375,32058.735091080118,29605.462951774636,0.0,0.0,0.0,0.0,1646036.837394514,0.0,0.0
2022,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2023,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
2024,4659000.0,120870.07231406946,190602.51080250714,13322.630376447692,219004.72768619336,11663.82516789957,658958.8069379126,74228.97284274209,390039.6617401023,31225.207978712035,30523.23230327965,0.0,0.0,0.0,0.0,1659205.13209367,0.0,0.0
