aggregation_category,CSC.Sector,CSC.Subsector,Gas,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Subsector_Category,Code,Country,Units
Agriculture and Managed Soil,Non-LULUCF,Agriculture and Managed Soil,ch4,0.1970298,0.1995129,0.2019681,0.2044512,0.2069343,0.2094174,0.2118726,0.2130723,0.2141883,0.2152485,0.2163087,0.2109798,0.205623,0.2002383,0.1932354,0.1862046,0.1853118,0.1954116,0.1943793,0.2245113,0.2079666,0.2254878,0.2153322,0.2822643,0.2419209,Agriculture and Managed Soil:ch4,UGA,uganda,MtCO2e
Agriculture and Managed Soil,Non-LULUCF,Agriculture and Managed Soil,co2,7.307183,7.307183,7.307183,7.306486,7.305364,7.304554,7.304253,7.310865,7.310588,0.768573,0.765851,7.266458,0.681741,0.325374,0.283941,0.241775,0.248078,0.322272,0.324626,0.535145,0.438887,0.577545,0.216616,0.081902,0.025526,Agriculture and Managed Soil:co2,UGA,uganda,MtCO2e
Agriculture and Managed Soil,Non-LULUCF,Agriculture and Managed Soil,n2o,0.502866,0.433524,0.450996,0.465738,0.468741,0.477204,0.486486,0.495495,0.504504,0.51324,0.622986,0.530166,0.537537,0.570843,0.81081,0.708435,0.623805,0.645099,0.663117,0.689052,1.722903,0.730002,0.731367,0.727272,1.881789,Agriculture and Managed Soil:n2o,UGA,uganda,MtCO2e
Commercial,Non-LULUCF,Commercial,ch4,0.191067638,0.191067638,0.203979207,0.210728818,0.212353664,0.224659774,0.244445229,0.268772671,0.269470514,0.274041402,0.283680988,0.290766564,0.303617903,0.319528667,0.324576564,0.335397286,0.343480748,0.35180034,0.321087765,0.325292161,0.393020396,0.340856079,0.353230965,0.467395396,0.455806025,Commercial:ch4,UGA,uganda,MtCO2e
Commercial,Non-LULUCF,Commercial,co2,0.034273218,0.034273218,0.03837934,0.047006617,0.040840506,0.047327624,0.049604037,0.049841906,0.049915477,0.038397155,0.032805756,0.034168965,0.028429764,0.050148397,0.058871019,0.048432839,0.064053654,0.063434403,0.046039306,0.047660508,0.090419139,0.096381033,0.100539281,0.103646421,0.066047,Commercial:co2,UGA,uganda,MtCO2e
Commercial,Non-LULUCF,Commercial,n2o,0.023513735,0.023513735,0.025065105,0.025908229,0.026220935,0.027755969,0.030066457,0.033098791,0.033203489,0.033717861,0.034847362,0.035728381,0.037270026,0.038739438,0.039869826,0.041143722,0.042195018,0.043213221,0.038779496,0.039801669,0.047536732,0.041061629,0.042518388,0.063457728,0.058549815,Commercial:n2o,UGA,uganda,MtCO2e
Residential,Non-LULUCF,Residential,ch4,1.623156958,1.623156958,1.732843266,1.79018253,1.803985913,1.908528724,2.076610042,2.283276416,2.289204731,2.328035318,2.409925484,2.470118837,2.579293475,2.714458535,2.757341406,2.849265554,2.917936143,2.988612706,2.727703376,2.763420539,3.338785141,2.895639064,3.000766144,3.970615316,3.872161347,Residential:ch4,UGA,uganda,MtCO2e
Residential,Non-LULUCF,Residential,co2,0.069611782,0.069611782,0.07795166,0.095474383,0.082950494,0.096126376,0.100749963,0.101233094,0.101382523,0.077987845,0.066631244,0.069400035,0.057743236,0.101855603,0.119571981,0.098371161,0.130098346,0.128840597,0.093509694,0.096802492,0.183648861,0.195757967,0.204203719,0.210514579,0.134147,Residential:co2,UGA,uganda,MtCO2e
Residential,Non-LULUCF,Residential,n2o,0.210860185,0.210860185,0.224772142,0.232332884,0.235137082,0.24890255,0.269621925,0.296814479,0.297753367,0.302366008,0.312494849,0.320395413,0.334220165,0.347397172,0.357533956,0.368957666,0.378385195,0.387515966,0.347756387,0.356922762,0.426287186,0.368221493,0.381285022,0.569059232,0.525047366,Residential:n2o,UGA,uganda,MtCO2e
Carbon Capture Industries,Non-LULUCF,Carbon Capture Industries,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon Capture Industries:ch4,UGA,uganda,MtCO2e
Carbon Capture Industries,Non-LULUCF,Carbon Capture Industries,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon Capture Industries:co2,UGA,uganda,MtCO2e
Carbon Capture Industries,Non-LULUCF,Carbon Capture Industries,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carbon Capture Industries:n2o,UGA,uganda,MtCO2e
Deforestation,LULUCF,Deforestation,co2,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09828065,13.09866348,13.09904631,13.09904631,13.09904631,Deforestation:co2,UGA,uganda,MtCO2e
Electricity and Heat Generation,Non-LULUCF,Electricity and Heat Generation,ch4,0,0,0,0,0,0,0,0,0,0,0.0001116,0.0001395,0.0001953,0.0002232,0.0001674,0.0002232,0.0003069,0.0002511,8.37E-05,5.58E-05,5.58E-05,5.58E-05,0.0001395,0.0002511,8.37E-05,Electricity and Heat Generation:ch4,UGA,uganda,MtCO2e
Electricity and Heat Generation,Non-LULUCF,Electricity and Heat Generation,co2,0.000874,0.000874,0.000956,0.000903,0.000979,0.000986,0.001054,0.001052,0.001129,0.001129,0.105963,0.121288,0.17129,0.199064,0.147363,0.207176,0.277764,0.235387,0.084366,0.042957,0.052787,0.043421,0.122776,0.223337,0.074471,Electricity and Heat Generation:co2,UGA,uganda,MtCO2e
Electricity and Heat Generation,Non-LULUCF,Electricity and Heat Generation,n2o,0,0,0,0,0,0,0,0,0,0,0.000273,0.000273,0.000273,0.000546,0.000273,0.000546,0.000546,0.000546,0.000273,0,0,0,0.000273,0.000546,0.000273,Electricity and Heat Generation:n2o,UGA,uganda,MtCO2e
Forest Land - Removals,LULUCF,Forest Land - Removals,co2,-19.303684,-17.208148,-19.231391,-14.431947,-11.311982,-8.070042,-4.699094,-7.473811,-4.719435,-1.810142,9.329443,11.658137,17.489936,19.936255,22.421004,24.944032,27.498154,30.082574,37.690435,40.401943,43.002758,45.49643423,46.88246347,48.95618547,50.17689647,Forest Land - Removals:co2,UGA,uganda,MtCO2e
Forest Land - Sequestration,LULUCF,Forest Land - Sequestration,co2,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.654960907,-7.672695535,-7.804527172,-9.433641409,-10.9708671,Forest Land - Sequestration:co2,UGA,uganda,MtCO2e
Forest Land Methane,LULUCF,Forest Land Methane,ch4,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055167542,0.055212171,0.056021458,0.066606699,0.076616376,Forest Land Methane:ch4,UGA,uganda,MtCO2e
Fuel Production,Non-LULUCF,Fuel Production,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fuel Production:ch4,UGA,uganda,MtCO2e
Fuel Production,Non-LULUCF,Fuel Production,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fuel Production:co2,UGA,uganda,MtCO2e
Fuel Production,Non-LULUCF,Fuel Production,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fuel Production:n2o,UGA,uganda,MtCO2e
Fugitive Emissions,Non-LULUCF,Fugitive Emissions,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,Fugitive Emissions:ch4,UGA,uganda,MtCO2e
Fugitive Emissions,Non-LULUCF,Fugitive Emissions,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fugitive Emissions:co2,UGA,uganda,MtCO2e
Fugitive Emissions,Non-LULUCF,Fugitive Emissions,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,Fugitive Emissions:n2o,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPPU:ch4,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,co2,0.122113,0.122113,0.126091,0.128347,0.139115,0.147726,0.119048,0.185399,0.158542,0.204311,0.206046,0.211729,0.18427,0.240082,0.2391,0.278693,0.413491,0.323721,0.371407,0.420648,0.362667,0.375454,0.356646,0.369456,0.369457,IPPU:co2,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,hfcs,0.013675,0.01716,0.020297,0.023153,0.025769,0.028184,0.030442,0.032405,0.034115,0.035615,0.036937,0.038112,0.039784,0.067273,0.062595,0.060064,0.05995,0.061297,0.064012,0.067908,0.072967,0.079915,0.086171,0.091904,0.096424,IPPU:hfcs,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPPU:n2o,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,nf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPPU:nf3,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,pfcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17402,0,0,0,0,0,0,0,0,0,IPPU:pfcs,UGA,uganda,MtCO2e
IPPU,Non-LULUCF,IPPU,sf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPPU:sf6,UGA,uganda,MtCO2e
Industrial Combustion,Non-LULUCF,Industrial Combustion,ch4,0.012109404,0.012109404,0.013499127,0.014166152,0.013692323,0.014330302,0.038308229,0.023567313,0.026036554,0.02853058,0.030689028,0.0311234,0.035065922,0.046479698,0.04065003,0.04225116,0.042082609,0.042266654,0.084546259,0.0851634,0.099896763,0.091109957,0.064450391,0.082430989,1.995539727,Industrial Combustion:ch4,UGA,uganda,MtCO2e
Industrial Combustion,Non-LULUCF,Industrial Combustion,co2,0.184013,0.184013,0.219895,0.256784,0.217494,0.19959,0.198069,0.203806,0.244747,0.292604,0.292786,0.341834,0.3199,0.323492,0.963117,0.542961,0.416566,0.65069,0.731968,0.916691,1.196476,1.215312,1.212392,1.107652,1.513437,Industrial Combustion:co2,UGA,uganda,MtCO2e
Industrial Combustion,Non-LULUCF,Industrial Combustion,n2o,0.01596708,0.01596708,0.017702753,0.018853887,0.018193983,0.019000481,0.050570619,0.03099273,0.034317143,0.037926131,0.040863789,0.041091207,0.046472809,0.06158339,0.054138218,0.055909611,0.055531786,0.056029813,0.111962118,0.111874569,0.134966082,0.121428878,0.08643359,0.124785041,0.533791819,Industrial Combustion:n2o,UGA,uganda,MtCO2e
Livestock,Non-LULUCF,Livestock,ch4,12.9871431,12.9871431,13.7861154,14.1855876,14.5852272,14.984811,15.3845622,15.7858479,16.1901468,16.5958965,17.0036271,17.4135897,17.8245567,19.3463622,19.8109251,20.2754601,20.7399114,21.2044743,21.6690093,22.1334606,22.5979677,23.0624469,23.5270098,23.527512,24.4559961,Livestock:ch4,UGA,uganda,MtCO2e
Livestock,Non-LULUCF,Livestock,n2o,1.623804,1.623804,1.717989,1.765491,1.814085,1.862679,1.911273,1.959867,2.008461,2.057055,2.105922,2.154789,2.203383,2.404038,2.444715,2.485392,2.526069,2.566746,2.607423,2.6481,2.688777,2.729454,2.770131,2.772315,2.851485,Livestock:n2o,UGA,uganda,MtCO2e
Other  Combustion,Non-LULUCF,Other  Combustion,ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other  Combustion:ch4,UGA,uganda,MtCO2e
Other  Combustion,Non-LULUCF,Other  Combustion,co2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other  Combustion:co2,UGA,uganda,MtCO2e
Other  Combustion,Non-LULUCF,Other  Combustion,n2o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other  Combustion:n2o,UGA,uganda,MtCO2e
Other Land Use Conversion,LULUCF,Other Land Use Conversion,co2,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305719349,0.305728284,0.30573722,0.30573722,0.30573722,Other Land Use Conversion:co2,UGA,uganda,MtCO2e
Other Not Estimated Conversion,Non-LULUCF,Other Not Estimated Conversion,co2,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,0.457015149,1.036916012,1.492597712,2.012473546,2.54033494,Other Not Estimated Conversion:co2,UGA,uganda,MtCO2e
