year,emission_category,gas,aggregation_category,value_kt,source,note,
1995,Land converted to Cropland,co2,Deforestation and Other Land Use Conversion,10611,NDC3 Table 2.52,,
1995,"Land converted to G, W, S, O",co2,Deforestation and Other Land Use Conversion,2793,NDC3 Table 2.52,,
2000,Land converted to Cropland,co2,Deforestation and Other Land Use Conversion,10611,NDC3 Table 2.52,,
2000,"Land converted to G, W, S, O",co2,Deforestation and Other Land Use Conversion,2793,NDC3 Table 2.52,,
2005,Land converted to Cropland,co2,Deforestation and Other Land Use Conversion,10611,NDC3 Table 2.52,,
2005,"Land converted to G, W, S, O",co2,Deforestation and Other Land Use Conversion,2793,NDC3 Table 2.52,,
2010,Land converted to Cropland,co2,Deforestation and Other Land Use Conversion,10611,NDC3 Table 2.52,,
2010,"Land converted to G, W, S, O",co2,Deforestation and Other Land Use Conversion,2793,NDC3 Table 2.52,,
2015,Land converted to Cropland,co2,Deforestation and Other Land Use Conversion,10611,NDC3 Table 2.52,,
2015,"Land converted to G, W, S, O",co2,Deforestation and Other Land Use Conversion,2793,NDC3 Table 2.52,,
2017,3.B.2.b.i - Forest Land converted to Cropland ,co2,Deforestation,10470.44519,NDC3 Annex 2.11,,
2017,3.B.3.b.i - Forest Land converted to Grassland ,co2,Deforestation,2575.058255,NDC3 Annex 2.11,,
2017,3.B.5.b.i - Forest Land converted to Settlements ,co2,Deforestation,52.82603333 ,NDC3 Annex 2.11,,
2017,3.B.6.b.i - Forest Land converted to Other Land ,co2,Deforestation,0.716833333,NDC3 Annex 2.11,,
2017,Other lands converted to Cropland,co2,Other Land Use Conversion,140.89672,NDC3 Annex 2.11,,
2017,Other lands converted to Grassland,co2,Other Land Use Conversion,152.131833,NDC3 Annex 2.11,,
2017,Other lands converted to Other Lands,co2,Other Land Use Conversion,9.643333337,NDC3 Annex 2.11,,
2017,Other lands converted to Settlements,co2,Other Land Use Conversion,3.065333333 ,NDC3 Annex 2.11,,
