"","Code","Country","Sector","Subsector","Gas","Units","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","Edgar_Class","CSC.Sector","CSC.Subsector"
"1","UGA","uganda","Agriculture","AG - Crops","ch4","MtCO2e",0.313042911,0.330737966,0.347538595,0.371936113,0.39511836,0.429930833,0.470288011,0.493086028,0.523441865,0.374496895,0.380221315,0.394564862,0.405855707,0.410700319,0.419690126,0.422303377,0.374638053,0.334654958,0.355440797,0.285356576,0.581307342,1.046937878,1.01272499,1.012220289,"AG - Crops:ch4","Agriculture","AG - Crops"
"2","UGA","uganda","Agriculture","AG - Crops","n2o","MtCO2e",3.150133334,3.252700896,3.406569582,3.587818706,3.681731719,3.797010095,3.894610434,4.013859471,5.880060154,6.056508599,6.240747478,6.419074951,6.602988595,6.712846461,6.910017868,7.108372013,7.326732413,7.319679812,7.515001117,7.505708428,7.500121749,7.584148581,7.559083896,7.605197994,"AG - Crops:n2o","Agriculture","AG - Crops"
"3","UGA","uganda","Agriculture","AG - Livestock","ch4","MtCO2e",7.52707788,7.76860364,8.030422288,8.32526688,8.51658528,8.83882664,9.09435072,9.369920792,14.408861143,14.841798421,15.287244734,15.731262555,16.157166692,16.42800813,16.99435528,17.463279985,18.048251753,17.942740405,18.393462371,18.527371869,18.323578536,18.481630877,18.53716713,18.656052477,"AG - Livestock:ch4","Agriculture","AG - Livestock"
"4","UGA","uganda","Agriculture","AG - Livestock","n2o","MtCO2e",0.152942495,0.159858002,0.168187039,0.181703474,0.195963719,0.202136966,0.206272963,0.213075156,0.234047819,0.239864131,0.247501113,0.25494789,0.26168871,0.2658931,0.26404131,0.268967134,0.270867144,0.272780659,0.276582664,0.27702017,0.278467838,0.282036587,0.285243026,0.2877355,"AG - Livestock:n2o","Agriculture","AG - Livestock"
"5","UGA","uganda","Energy","EN - Building","ch4","MtCO2e",2.005225547,2.048983443,2.10560349,2.161733401,2.212710308,2.260814555,2.309959441,2.351877772,2.427974835,2.543852914,2.632862351,2.743218301,2.84166452,2.988092261,3.093147839,3.232519798,3.331572588,3.429688706,3.506457361,3.473216276,3.692920232,3.847357691,3.892268165,3.892270097,"EN - Building:ch4","Energy","EN - Building"
"6","UGA","uganda","Energy","EN - Building","co2","MtCO2e",0.04068611,0.03753689,0.12112326,0.13652645,0.1396297,0.28710346,0.29323731,0.44624037,0.3680888,0.37863734,0.343732,0.33812755,0.38618613,0.38209534,0.36222082,0.48964174,0.52429611,0.543696851,0.588277648,0.604793997,0.54898344,0.648823192,0.601426264,0.60163766,"EN - Building:co2","Energy","EN - Building"
"7","UGA","uganda","Energy","EN - Building","n2o","MtCO2e",0.242128616,0.247345756,0.254354113,0.261147825,0.267269465,0.273291029,0.279158396,0.284379458,0.293463936,0.30713879,0.317309124,0.330108727,0.341428568,0.35862645,0.370526625,0.386914146,0.397270433,0.42165333,0.446969176,0.437238908,0.464477598,0.482868028,0.485377304,0.485387916,"EN - Building:n2o","Energy","EN - Building"
"8","UGA","uganda","Energy","EN - Fugitive Emissions","ch4","MtCO2e",2.3545368,2.4175536,2.4805704,2.5464516,2.6151972,2.6839428,2.7584172,2.8328916,2.9102304,3.1164672,3.3341616,3.5690424,3.8153808,4.08177,4.36821,4.6747008,5.15592,5.30709708,5.66926326,7.15666341,7.65506064,8.61291879,8.827121149,8.827121149,"EN - Fugitive Emissions:ch4","Energy","EN - Fugitive Emissions"
"9","UGA","uganda","Energy","EN - Fugitive Emissions","n2o","MtCO2e",0.028178489,0.028932658,0.029686826,0.030475276,0.031298005,0.032120735,0.033012025,0.033903316,0.034828886,0.037297075,0.039902386,0.042713378,0.045661493,0.04884957,0.05227761,0.055945613,0.06170472,0.063513968,0.06784828,0.085649101,0.09161379,0.103077189,0.105640708,0.105640708,"EN - Fugitive Emissions:n2o","Energy","EN - Fugitive Emissions"
"10","UGA","uganda","Energy","EN - Manufacturing/Construction","ch4","MtCO2e",0.038447489,0.04111523,0.04511358,0.048904932,0.052039809,0.055605054,0.058875765,0.061640261,0.068773387,0.07404523,0.075242335,0.078224255,0.08073403,0.087637497,0.090069423,0.096545257,0.092120459,0.110158562,0.162167209,0.193585998,0.220814836,0.255489231,0.25904276,0.258981613,"EN - Manufacturing/Construction:ch4","Energy","EN - Manufacturing/Construction"
"11","UGA","uganda","Energy","EN - Manufacturing/Construction","co2","MtCO2e",0.2411622,0.22226688,0.29018517,0.33060705,0.34904126,0.49351676,0.50010095,0.63769403,0.55641974,0.5638568,0.60533619,0.62470436,0.70933292,0.75523901,0.83892314,1.07273921,1.04616428,1.087638885,1.172605439,1.177956363,1.15136811,1.264113389,1.171769138,1.172181005,"EN - Manufacturing/Construction:co2","Energy","EN - Manufacturing/Construction"
"12","UGA","uganda","Energy","EN - Manufacturing/Construction","n2o","MtCO2e",0.046805819,0.050214573,0.055574364,0.060644884,0.06478265,0.069385711,0.073603509,0.077111685,0.086395128,0.093420082,0.094118636,0.098229212,0.100887281,0.109991822,0.1120534,0.120923544,0.114054845,0.121006261,0.134905689,0.137122986,0.144468997,0.155314372,0.156293394,0.155944369,"EN - Manufacturing/Construction:n2o","Energy","EN - Manufacturing/Construction"
"13","UGA","uganda","Energy","EN - Other","ch4","MtCO2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35e-05,2.17e-05,2.17e-05,"EN - Other:ch4","Energy","EN - Other"
"14","UGA","uganda","Energy","EN - Other","co2","MtCO2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006005544,0.005566835,0.005568792,"EN - Other:co2","Energy","EN - Other"
"15","UGA","uganda","Energy","EN - Other","n2o","MtCO2e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33e-05,1.23e-05,1.23e-05,"EN - Other:n2o","Energy","EN - Other"
"16","UGA","uganda","Energy","EN - Electricity/Heat","ch4","MtCO2e",0.000306037,0.000316117,0.000376597,0.000437077,0.000481034,0.00053923,0.000850366,0.000982968,0.00131166,0.002031918,0.002062418,0.001683326,0.001550195,0.001750854,0.002543226,0.00362266,0.00372346,0.002145095,0.003071685,0.002817498,0.002669901,0.003750664,0.003784259,0.003784275,"EN - Electricity/Heat:ch4","Energy","EN - Electricity/Heat"
"17","UGA","uganda","Energy","EN - Electricity/Heat","co2","MtCO2e",0.00320853,0.00320853,0.00320853,0.00320853,0.00641706,0.05775354,0.31443594,0.4491942,0.4812795,0.68983395,0.77938164,0.74729634,0.21166593,0.00632001,0.08313063,0.05921517,0.05921517,0.05983407,0.233320752,0.077774616,0.050552262,0.045368784,0.042054567,0.042069349,"EN - Electricity/Heat:co2","Energy","EN - Electricity/Heat"
"18","UGA","uganda","Energy","EN - Electricity/Heat","n2o","MtCO2e",0.000388485,0.000401205,0.000477525,0.000553845,0.000611609,0.000721765,0.001297981,0.001561698,0.001999425,0.00305749,0.003159743,0.002658416,0.002107497,0.002213837,0.003268484,0.004612097,0.004739297,0.002747878,0.004035942,0.00360867,0.003403776,0.004764047,0.004804172,0.004804202,"EN - Electricity/Heat:n2o","Energy","EN - Electricity/Heat"
"19","UGA","uganda","Energy","EN - Transportation","ch4","MtCO2e",0.006283975,0.006435962,0.006508334,0.006780514,0.006488473,0.006363875,0.007037777,0.007181201,0.008978541,0.010455518,0.006416748,0.010697339,0.013556173,0.014199962,0.015562676,0.018203987,0.019908017,0.021012723,0.022555545,0.024069516,0.022559126,0.025470886,0.02378093,0.023764461,"EN - Transportation:ch4","Energy","EN - Transportation"
"20","UGA","uganda","Energy","EN - Transportation","co2","MtCO2e",0.90474516,0.91716372,0.92989395,0.95814738,0.98527008,1.02158318,1.12869929,1.18984951,1.38047923,1.52443546,1.28021986,1.63942309,2.04161558,2.19260464,2.43519418,2.741858,2.94367166,3.105180744,3.385453478,3.520606244,3.39126129,3.766474568,3.552211626,3.545019672,"EN - Transportation:co2","Energy","EN - Transportation"
"21","UGA","uganda","Energy","EN - Transportation","n2o","MtCO2e",0.00761878,0.007680365,0.007803613,0.007864129,0.008153886,0.008811809,0.00987431,0.010094015,0.012904419,0.014773246,0.021028343,0.02396512,0.028285066,0.029500675,0.031816405,0.034622476,0.04199946,0.04439449,0.0477866,0.048822832,0.047960074,0.052636946,0.049257195,0.049209876,"EN - Transportation:n2o","Energy","EN - Transportation"
"22","UGA","uganda","Industrial Processes","IN - Industrial Processes","co2","MtCO2e",0.222318926,0.255997057,0.292529386,0.301036993,0.33013791,0.359877916,0.339928247,0.384056724,0.570127208,0.547648427,0.64693183,0.742345502,0.805298096,0.875726966,0.914605711,1.011267652,1.197315637,1.204206999,1.223028413,1.40915052,1.651089311,1.845630858,1.848002308,1.850930327,"IN - Industrial Processes:co2","Industrial Processes","IN - Industrial Processes"
"23","UGA","uganda","Industrial Processes","IN - Industrial Processes","n2o","MtCO2e",0.26251843,0.270977261,0.272583319,0.309064632,0.293152139,0.33781567,0.290128859,0.34254668,0.35348675,0.347528509,0.377466915,0.382090158,0.40326164,0.427437237,0.434454594,0.462750792,0.496746348,0.503001705,0.517591716,0.541804264,0.576759815,0.61999169,0.616879735,0.623652216,"IN - Industrial Processes:n2o","Industrial Processes","IN - Industrial Processes"
"24","UGA","uganda","Land Use, Land Use Change, and Forestry","LULUCF - Deforestation","co2","MtCO2e",13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904617,13.09904626,13.09904636,13.09904636,13.09904636,13.09904636,13.09904636,13.09904636,13.09904636,"LULUCF - Deforestation:co2","Land Use, Land Use Change, and Forestry","LULUCF - Deforestation"
